Time elapsed (ms),Avg throughput (tokens/s),Running (reqs),Swapped (reqs),Pending (reqs),GPU KV cache usage (%),CPU KV cache usage (%)
0,0,0,0,0,0,0
1263.2,12794.0,2,0,0,95.1,0.0
1298.6000000000001,56.5,2,0,0,95.3,0.0
1333.8000000000002,56.9,2,0,0,95.3,0.0
1368.9,57.0,2,0,0,95.3,0.0
1403.8000000000002,57.2,2,0,0,95.3,0.0
1438.8000000000002,57.2,2,0,0,95.3,0.0
1473.7000000000003,57.3,2,0,0,95.3,0.0
1508.7000000000003,57.2,2,0,0,95.3,0.0
1543.6000000000004,57.3,2,0,0,95.3,0.0
1578.5000000000005,57.2,2,0,0,95.3,0.0
1613.4000000000005,57.2,2,0,0,95.3,0.0
1648.4000000000005,57.2,2,0,0,95.3,0.0
1683.4000000000005,57.2,2,0,0,95.3,0.0
1718.4000000000005,57.2,2,0,0,95.3,0.0
1753.3000000000006,57.3,2,0,0,95.3,0.0
1788.3000000000006,57.2,2,0,0,95.3,0.0
1823.3000000000006,57.2,2,0,0,95.3,0.0
1858.1000000000006,57.4,2,0,0,95.5,0.0
1892.9000000000005,57.5,2,0,0,95.5,0.0
1927.7000000000005,57.5,2,0,0,95.5,0.0
1962.6000000000006,57.4,2,0,0,95.5,0.0
1997.4000000000005,57.4,2,0,0,95.5,0.0
2032.3000000000006,57.4,2,0,0,95.5,0.0
2067.100000000001,57.4,2,0,0,95.5,0.0
2101.900000000001,57.4,2,0,0,95.5,0.0
2136.700000000001,57.4,2,0,0,95.5,0.0
2171.6000000000013,57.4,2,0,0,95.5,0.0
2206.5000000000014,57.4,2,0,0,95.5,0.0
2241.3000000000015,57.4,2,0,0,95.5,0.0
2276.2000000000016,57.4,2,0,0,95.5,0.0
2311.1000000000017,57.4,2,0,0,95.5,0.0
2345.900000000002,57.4,2,0,0,95.5,0.0
2380.700000000002,57.4,2,0,0,95.5,0.0
2415.600000000002,57.4,2,0,0,95.7,0.0
2450.5000000000023,57.3,2,0,0,95.7,0.0
2485.4000000000024,57.3,2,0,0,95.7,0.0
2520.3000000000025,57.3,2,0,0,95.7,0.0
2555.2000000000025,57.2,2,0,0,95.7,0.0
2590.1000000000026,57.3,2,0,0,95.7,0.0
2625.0000000000027,57.3,2,0,0,95.7,0.0
2659.900000000003,57.3,2,0,0,95.7,0.0
2694.800000000003,57.3,2,0,0,95.7,0.0
2729.700000000003,57.3,2,0,0,95.7,0.0
2764.600000000003,57.3,2,0,0,95.7,0.0
2799.500000000003,57.2,2,0,0,95.7,0.0
2834.4000000000033,57.3,2,0,0,95.7,0.0
2869.3000000000034,57.4,2,0,0,95.7,0.0
2904.2000000000035,57.3,2,0,0,95.7,0.0
2939.1000000000035,57.3,2,0,0,95.7,0.0
2974.1000000000035,57.1,2,0,0,95.9,0.0
3009.1000000000035,57.2,2,0,0,95.9,0.0
3044.1000000000035,57.2,2,0,0,95.9,0.0
3079.1000000000035,57.1,2,0,0,95.9,0.0
3114.1000000000035,57.2,2,0,0,95.9,0.0
3149.1000000000035,57.1,2,0,0,95.9,0.0
3184.1000000000035,57.1,2,0,0,95.9,0.0
3219.1000000000035,57.1,2,0,0,95.9,0.0
3254.1000000000035,57.2,2,0,0,95.9,0.0
3289.1000000000035,57.1,2,0,0,95.9,0.0
3324.1000000000035,57.1,2,0,0,95.9,0.0
3359.1000000000035,57.1,2,0,0,95.9,0.0
3394.1000000000035,57.2,2,0,0,95.9,0.0
3429.1000000000035,57.1,2,0,0,95.9,0.0
3464.1000000000035,57.2,2,0,0,95.9,0.0
3499.1000000000035,57.1,2,0,0,95.9,0.0
3534.1000000000035,57.1,2,0,0,96.0,0.0
3569.1000000000035,57.1,2,0,0,96.0,0.0
3604.1000000000035,57.1,2,0,0,96.0,0.0
3639.1000000000035,57.1,2,0,0,96.0,0.0
3674.1000000000035,57.1,2,0,0,96.0,0.0
3709.1000000000035,57.1,2,0,0,96.0,0.0
3744.1000000000035,57.1,2,0,0,96.0,0.0
3779.1000000000035,57.1,2,0,0,96.0,0.0
3814.1000000000035,57.1,2,0,0,96.0,0.0
3849.1000000000035,57.1,2,0,0,96.0,0.0
3884.1000000000035,57.1,2,0,0,96.0,0.0
3919.1000000000035,57.1,2,0,0,96.0,0.0
3954.2000000000035,57.1,2,0,0,96.0,0.0
3989.2000000000035,57.1,2,0,0,96.0,0.0
4024.2000000000035,57.1,2,0,0,96.0,0.0
4059.2000000000035,57.1,2,0,0,96.0,0.0
4094.2000000000035,57.1,2,0,0,96.2,0.0
4129.100000000003,57.2,2,0,0,96.2,0.0
4164.000000000003,57.2,2,0,0,96.2,0.0
4198.900000000002,57.3,2,0,0,96.2,0.0
4233.800000000002,57.3,2,0,0,96.2,0.0
4268.700000000002,57.3,2,0,0,96.2,0.0
4303.600000000001,57.3,2,0,0,96.2,0.0
4338.500000000001,57.3,2,0,0,96.2,0.0
4373.400000000001,57.2,2,0,0,96.2,0.0
4408.3,57.3,2,0,0,96.2,0.0
4443.2,57.3,2,0,0,96.2,0.0
4478.099999999999,57.2,2,0,0,96.2,0.0
4512.999999999999,57.3,2,0,0,96.2,0.0
4547.899999999999,57.3,2,0,0,96.2,0.0
4582.799999999998,57.3,2,0,0,96.2,0.0
4617.799999999998,57.1,2,0,0,96.2,0.0
4652.799999999998,57.1,2,0,0,96.4,0.0
4687.799999999998,57.1,2,0,0,96.4,0.0
4722.799999999998,57.2,2,0,0,96.4,0.0
4757.799999999998,57.2,2,0,0,96.4,0.0
4792.799999999998,57.1,2,0,0,96.4,0.0
4827.799999999998,57.1,2,0,0,96.4,0.0
4862.799999999998,57.2,2,0,0,96.4,0.0
4897.799999999998,57.1,2,0,0,96.4,0.0
4932.799999999998,57.2,2,0,0,96.4,0.0
4967.799999999998,57.2,2,0,0,96.4,0.0
5002.799999999998,57.2,2,0,0,96.4,0.0
5037.899999999999,56.9,2,0,0,96.4,0.0
5072.999999999999,57.0,2,0,0,96.4,0.0
5108.099999999999,57.0,2,0,0,96.4,0.0
5143.2,57.1,2,0,0,96.4,0.0
5178.2,57.1,2,0,0,96.4,0.0
5213.3,57.0,2,0,0,96.6,0.0
5248.5,56.9,2,0,0,96.6,0.0
5283.6,57.0,2,0,0,96.6,0.0
5318.700000000001,57.0,2,0,0,96.6,0.0
5353.800000000001,57.0,2,0,0,96.6,0.0
5388.9000000000015,57.0,2,0,0,96.6,0.0
5424.100000000001,56.9,2,0,0,96.6,0.0
5459.300000000001,56.8,2,0,0,96.6,0.0
5494.500000000001,56.8,2,0,0,96.6,0.0
5529.600000000001,56.9,2,0,0,96.6,0.0
5564.700000000002,56.9,2,0,0,96.6,0.0
5599.800000000002,57.0,2,0,0,96.6,0.0
5634.900000000002,57.0,2,0,0,96.6,0.0
5670.100000000002,56.8,2,0,0,96.6,0.0
5705.200000000003,56.9,2,0,0,96.6,0.0
5740.300000000003,56.9,2,0,0,96.6,0.0
5775.500000000003,56.9,2,0,0,96.8,0.0
5810.700000000003,56.9,2,0,0,96.8,0.0
