Time elapsed (ms),Avg throughput (tokens/s),Running (reqs),Swapped (reqs),Pending (reqs),GPU KV cache usage (%),CPU KV cache usage (%)
0,0,0,0,0,0,0
1273.6,12690.1,2,0,0,95.1,0.0
1309.1,56.3,2,0,0,95.3,0.0
1344.3,56.8,2,0,0,95.3,0.0
1379.5,56.9,2,0,0,95.3,0.0
1414.4,57.2,2,0,0,95.3,0.0
1449.4,57.2,2,0,0,95.3,0.0
1484.4,57.1,2,0,0,95.3,0.0
1519.4,57.1,2,0,0,95.3,0.0
1554.4,57.2,2,0,0,95.3,0.0
1589.4,57.2,2,0,0,95.3,0.0
1624.3000000000002,57.3,2,0,0,95.3,0.0
1659.2000000000003,57.3,2,0,0,95.3,0.0
1694.1000000000004,57.2,2,0,0,95.3,0.0
1729.1000000000004,57.2,2,0,0,95.3,0.0
1764.0000000000005,57.2,2,0,0,95.3,0.0
1799.0000000000005,57.2,2,0,0,95.3,0.0
1833.9000000000005,57.3,2,0,0,95.3,0.0
1868.8000000000006,57.4,2,0,0,95.5,0.0
1903.6000000000006,57.4,2,0,0,95.5,0.0
1938.4000000000005,57.4,2,0,0,95.5,0.0
1973.3000000000006,57.3,2,0,0,95.5,0.0
2008.2000000000007,57.3,2,0,0,95.5,0.0
2043.2000000000007,57.2,2,0,0,95.5,0.0
2078.100000000001,57.2,2,0,0,95.5,0.0
2113.100000000001,57.2,2,0,0,95.5,0.0
2148.000000000001,57.3,2,0,0,95.5,0.0
2182.800000000001,57.4,2,0,0,95.5,0.0
2217.6000000000013,57.4,2,0,0,95.5,0.0
2252.5000000000014,57.4,2,0,0,95.5,0.0
2287.3000000000015,57.4,2,0,0,95.5,0.0
2322.1000000000017,57.4,2,0,0,95.5,0.0
2356.900000000002,57.4,2,0,0,95.5,0.0
2391.700000000002,57.5,2,0,0,95.5,0.0
2426.600000000002,57.3,2,0,0,95.7,0.0
2461.5000000000023,57.3,2,0,0,95.7,0.0
2496.4000000000024,57.3,2,0,0,95.7,0.0
