step_id,dur(ms),running_reqs,resumed_reqs,raw_running
1,1227.3264,2,0,2
2,35.2941,2,0,2
3,35.0420,2,0,2
4,35.0025,2,0,2
5,34.7915,2,0,2
6,34.8303,2,0,2
7,34.8651,2,0,2
8,34.8384,2,0,2
9,34.8167,2,0,2
10,34.8310,2,0,2
11,34.7624,2,0,2
12,34.7784,2,0,2
13,34.7970,2,0,2
14,34.8196,2,0,2
15,34.7900,2,0,2
16,34.7731,2,0,2
17,34.7819,2,0,2
18,34.7037,2,0,2
19,34.6775,2,0,2
20,34.6904,2,0,2
21,34.7826,2,0,2
22,34.7648,2,0,2
23,34.7745,2,0,2
24,34.7872,2,0,2
25,34.8058,2,0,2
26,34.7419,2,0,2
27,34.6923,2,0,2
28,34.6768,2,0,2
29,34.7116,2,0,2
30,34.7002,2,0,2
31,34.6739,2,0,2
32,34.6837,2,0,2
33,34.6639,2,0,2
34,34.7471,2,0,2
35,34.7366,2,0,2
36,34.7521,2,0,2
37,34.7524,2,0,2
38,34.7378,2,0,2
39,34.7333,2,0,2
40,34.7335,2,0,2
41,34.7455,2,0,2
42,34.7397,2,0,2
43,34.7216,2,0,2
44,34.7528,2,0,2
45,34.7781,2,0,2
46,34.7335,2,0,2
47,34.7879,2,0,2
48,34.8246,2,0,2
49,34.8129,2,0,2
50,34.8356,2,0,2
51,34.8308,2,0,2
52,34.8277,2,0,2
53,34.8580,2,0,2
54,34.8260,2,0,2
55,34.8237,2,0,2
56,34.8268,2,0,2
57,34.8086,2,0,2
58,34.9107,2,0,2
59,34.9767,2,0,2
60,34.9908,2,0,2
61,34.9181,2,0,2
62,34.9410,2,0,2
63,34.9519,2,0,2
64,34.9171,2,0,2
65,34.9610,2,0,2
66,34.9364,2,0,2
67,34.9553,2,0,2
68,34.9739,2,0,2
69,34.9314,2,0,2
70,34.8625,2,0,2
71,34.8873,2,0,2
72,34.8661,2,0,2
73,34.8704,2,0,2
74,34.8496,2,0,2
75,34.8897,2,0,2
76,34.9314,2,0,2
77,34.9400,2,0,2
78,34.9591,2,0,2
79,34.9514,2,0,2
80,34.9727,2,0,2
81,34.9638,2,0,2
82,34.9281,2,0,2
83,34.8516,2,0,2
84,34.7977,2,0,2
85,34.7469,2,0,2
86,34.7583,2,0,2
87,34.7693,2,0,2
88,34.7869,2,0,2
89,34.7862,2,0,2
90,34.7695,2,0,2
91,34.7507,2,0,2
92,34.7602,2,0,2
93,34.7478,2,0,2
94,34.8024,2,0,2
95,34.7800,2,0,2
96,34.7807,2,0,2
97,34.8225,2,0,2
98,34.8110,2,0,2
99,34.8554,2,0,2
100,34.8451,2,0,2
101,34.8594,2,0,2
102,34.8413,2,0,2
103,34.8415,2,0,2
