Time elapsed (ms),Avg throughput (tokens/s),Running (reqs),Swapped (reqs),Pending (reqs),GPU KV cache usage (%),CPU KV cache usage (%)
0,0,0,0,0,0,0
345.4,5457.799999999999,6,0,122,14.8,0.0
563.9,8479.199999999999,10,0,118,29.0,0.0
781.0999999999999,8301.2,16,0,112,43.0,0.0
1003.4999999999999,9017.1,22,0,106,58.7,0.0
1195.0,8318.1,27,0,101,71.0,0.0
1401.9,8530.900000000001,32,0,96,84.6,0.0
1594.6000000000001,8480.1,37,0,91,97.3,0.0
1633.8000000000002,943.8,37,0,91,97.4,0.0
1668.4,1070.0,37,0,91,97.8,0.0
1703.1000000000001,1066.8,37,0,91,98.2,0.0
1737.7,1070.5,37,0,91,98.5,0.0
1772.3,1069.5,37,0,91,98.7,0.0
1806.8999999999999,1069.2,37,0,91,99.3,0.0
1841.6,1066.3,37,0,91,99.8,0.0
1876.3,1065.8,37,0,91,99.9,0.0
1911.0,1065.9,37,0,91,99.9,0.0
1945.6,1041.6,36,0,92,98.8,0.0
1980.1,1043.1,36,0,92,99.0,0.0
2014.6999999999998,1039.9,36,0,92,99.4,0.0
2049.2,1042.6,36,0,92,99.4,0.0
2083.7,1042.4,36,0,92,99.5,0.0
2118.2999999999997,1039.6,36,0,92,99.9,0.0
2152.7,1017.8,35,0,93,97.1,0.0
2187.0,1019.3,35,0,93,97.2,0.0
2221.4,1017.8,35,0,93,97.6,0.0
2255.8,1018.0,35,0,93,97.9,0.0
2290.2000000000003,1018.4,35,0,93,98.3,0.0
2324.6000000000004,1017.1,35,0,93,98.4,0.0
2359.1000000000004,1015.7,35,0,93,98.8,0.0
2393.5000000000005,1017.0,35,0,93,99.3,0.0
2428.0000000000005,1014.1,35,0,93,99.4,0.0
2462.4000000000005,1016.1,35,0,93,99.4,0.0
2496.9000000000005,1014.2,35,0,93,99.9,0.0
2531.4000000000005,985.1,34,0,94,96.8,0.0
2565.7000000000007,991.1,34,0,94,97.2,0.0
2600.000000000001,991.8,34,0,94,97.2,0.0
2634.300000000001,990.6,34,0,94,97.3,0.0
2668.700000000001,989.6,34,0,94,97.7,0.0
2703.1000000000013,988.9,34,0,94,98.0,0.0
2737.6000000000013,985.1,34,0,94,98.2,0.0
2772.0000000000014,988.1,34,0,94,98.5,0.0
2806.4000000000015,987.0,34,0,94,98.9,0.0
2841.0000000000014,984.0,34,0,94,99.3,0.0
2875.5000000000014,986.1,34,0,94,99.4,0.0
2910.0000000000014,985.9,34,0,94,99.6,0.0
2944.4000000000015,958.1,33,0,95,98.4,0.0
2978.9000000000015,957.8,33,0,95,98.5,0.0
3013.3000000000015,958.3,33,0,95,98.5,0.0
3047.7000000000016,958.8,33,0,95,99.0,0.0
3082.1000000000017,958.0,33,0,95,99.3,0.0
3116.6000000000017,956.2,33,0,95,99.6,0.0
3151.1000000000017,956.2,33,0,95,99.6,0.0
3185.6000000000017,957.4,33,0,95,99.8,0.0
3219.900000000002,933.3,32,0,96,96.0,0.0
3254.000000000002,937.2,32,0,96,96.3,0.0
3288.300000000002,932.6,32,0,96,96.5,0.0
3322.500000000002,935.0,32,0,96,96.8,0.0
3356.800000000002,933.7,32,0,96,97.2,0.0
3391.200000000002,931.1,32,0,96,97.6,0.0
3425.5000000000023,931.6,32,0,96,97.7,0.0
3459.9000000000024,930.8,32,0,96,97.9,0.0
3494.3000000000025,931.0,32,0,96,98.3,0.0
3528.7000000000025,929.4,32,0,96,98.4,0.0
3563.2000000000025,928.2,32,0,96,98.4,0.0
3597.6000000000026,929.0,32,0,96,98.9,0.0
3632.2000000000025,925.3,32,0,96,99.1,0.0
3666.7000000000025,928.9,32,0,96,99.5,0.0
3701.1000000000026,930.0,32,0,96,99.5,0.0
3735.6000000000026,927.9,32,0,96,99.6,0.0
3770.1000000000026,927.9,32,0,96,99.9,0.0
3804.6000000000026,898.6,31,0,97,97.8,0.0
3838.900000000003,905.1,31,0,97,97.9,0.0
3873.200000000003,904.3,31,0,97,98.3,0.0
3907.500000000003,903.5,31,0,97,98.7,0.0
3941.8000000000034,903.3,31,0,97,99.0,0.0
3976.3000000000034,899.7,31,0,97,99.1,0.0
4010.6000000000035,903.7,31,0,97,99.4,0.0
4044.9000000000037,903.0,31,0,97,99.8,0.0
4079.200000000004,902.8,31,0,97,99.9,0.0
4113.500000000004,902.9,31,0,97,99.9,0.0
4147.600000000004,880.5,30,0,98,95.6,0.0
4181.500000000004,886.2,30,0,98,95.9,0.0
4215.400000000003,884.8,30,0,98,96.1,0.0
4249.300000000003,884.7,30,0,98,96.1,0.0
4283.200000000003,885.1,30,0,98,96.2,0.0
4317.200000000003,882.0,30,0,98,96.5,0.0
4351.100000000002,883.8,30,0,98,96.8,0.0
4385.100000000002,883.6,30,0,98,97.0,0.0
4419.100000000002,883.1,30,0,98,97.3,0.0
4453.100000000002,881.3,30,0,98,97.7,0.0
4487.200000000003,880.0,30,0,98,98.0,0.0
4521.200000000003,881.7,30,0,98,98.2,0.0
4555.300000000003,879.8,30,0,98,98.4,0.0
4589.400000000003,880.7,30,0,98,98.7,0.0
4623.500000000004,878.8,30,0,98,98.8,0.0
4657.800000000004,873.8,30,0,98,98.8,0.0
4691.900000000004,879.8,30,0,98,99.3,0.0
4726.000000000005,878.9,30,0,98,99.5,0.0
4760.100000000005,878.6,30,0,98,99.8,0.0
4794.300000000005,877.2,30,0,98,99.8,0.0
4828.500000000005,876.4,30,0,98,99.9,0.0
4862.400000000004,854.2,29,0,99,97.0,0.0
4896.300000000004,855.5,29,0,99,97.3,0.0
4930.2000000000035,854.6,29,0,99,97.4,0.0
4964.2000000000035,853.4,29,0,99,97.8,0.0
4998.2000000000035,853.8,29,0,99,98.2,0.0
5032.300000000004,850.9,29,0,99,98.5,0.0
5066.400000000004,850.3,29,0,99,98.7,0.0
5100.500000000005,851.2,29,0,99,98.9,0.0
5134.700000000004,849.2,29,0,99,99.1,0.0
5168.800000000005,851.2,29,0,99,99.3,0.0
5202.900000000005,849.5,29,0,99,99.3,0.0
5237.100000000005,848.3,29,0,99,99.8,0.0
5271.200000000005,821.8,28,0,100,97.6,0.0
5305.100000000005,825.3,28,0,100,97.8,0.0
5339.000000000005,825.1,28,0,100,97.8,0.0
5372.900000000004,825.0,28,0,100,97.8,0.0
5406.800000000004,825.4,28,0,100,98.0,0.0
5440.900000000004,821.7,28,0,100,98.4,0.0
5474.900000000004,824.4,28,0,100,98.5,0.0
5508.900000000004,824.4,28,0,100,98.8,0.0
5542.900000000004,823.0,28,0,100,99.1,0.0
5576.900000000004,822.9,28,0,100,99.5,0.0
5611.000000000005,821.6,28,0,100,99.6,0.0
5645.100000000005,820.9,28,0,100,99.9,0.0
5679.000000000005,797.2,27,0,101,95.6,0.0
5712.800000000005,799.7,27,0,101,95.7,0.0
5746.600000000005,798.1,27,0,101,95.7,0.0
5780.400000000005,799.2,27,0,101,96.2,0.0
5814.200000000005,798.2,27,0,101,96.5,0.0
