Time elapsed (ms),Avg throughput (tokens/s),Running (reqs),Swapped (reqs),Pending (reqs),GPU KV cache usage (%),CPU KV cache usage (%)
0,0,0,0,0,0,0
2672.3,16006.3,128,0,0,53.0,0.0
2712.1000000000004,3218.9,128,0,0,53.1,0.0
2746.8,3691.2,128,0,0,53.3,0.0
2781.5,3687.9,128,0,0,53.4,0.0
2816.2,3684.9,128,0,0,53.6,0.0
2850.8999999999996,3689.3,128,0,0,53.8,0.0
2885.5999999999995,3689.2,128,0,0,54.0,0.0
2920.1999999999994,3698.8,128,0,0,54.2,0.0
2954.9999999999995,3682.7,128,0,0,54.3,0.0
2989.7999999999997,3676.6,128,0,0,54.4,0.0
3024.4999999999995,3683.6,128,0,0,54.5,0.0
3059.2999999999997,3677.7,128,0,0,54.7,0.0
3094.2,3672.5,128,0,0,54.8,0.0
3129.2,3661.8,128,0,0,54.9,0.0
3164.2,3659.4,128,0,0,55.1,0.0
3199.2,3653.5,128,0,0,55.3,0.0
3234.2999999999997,3646.2,128,0,0,55.5,0.0
3269.4999999999995,3631.3,128,0,0,55.6,0.0
3304.5999999999995,3646.3,128,0,0,55.8,0.0
3339.7999999999993,3635.1,128,0,0,55.9,0.0
3374.999999999999,3636.1,128,0,0,56.1,0.0
3410.2999999999993,3621.1,128,0,0,56.3,0.0
3445.499999999999,3639.2,128,0,0,56.5,0.0
3480.899999999999,3616.3,128,0,0,56.6,0.0
3516.1999999999994,3623.8,128,0,0,56.8,0.0
3551.5999999999995,3616.0,128,0,0,56.9,0.0
3586.8999999999996,3630.0,128,0,0,57.0,0.0
3622.2,3623.9,128,0,0,57.2,0.0
3657.3999999999996,3631.6,128,0,0,57.3,0.0
3692.8999999999996,3605.5,128,0,0,57.4,0.0
3728.2999999999997,3619.6,128,0,0,57.5,0.0
3763.7999999999997,3605.6,128,0,0,57.8,0.0
3799.1,3622.1,128,0,0,58.0,0.0
3834.5,3610.9,128,0,0,58.1,0.0
3869.8,3621.4,128,0,0,58.3,0.0
3905.2000000000003,3614.7,128,0,0,58.4,0.0
3940.6000000000004,3619.6,128,0,0,58.6,0.0
3976.2000000000003,3595.2,128,0,0,58.7,0.0
4011.6000000000004,3610.8,128,0,0,59.0,0.0
4047.1000000000004,3606.6,128,0,0,59.1,0.0
4082.6000000000004,3605.9,128,0,0,59.3,0.0
4118.1,3601.1,128,0,0,59.4,0.0
