Time elapsed (ms),Avg throughput (tokens/s),Running (reqs),Swapped (reqs),Pending (reqs),GPU KV cache usage (%),CPU KV cache usage (%)
0,0,0,0,0,0,0
364.0,5178.0,6,0,122,14.8,0.0
582.9,8463.4,10,0,118,29.0,0.0
800.0999999999999,8300.9,16,0,112,43.0,0.0
1022.0999999999999,9030.7,22,0,106,58.7,0.0
1212.6999999999998,8358.0,27,0,101,71.0,0.0
1418.4999999999998,8578.199999999999,32,0,96,84.6,0.0
1610.8999999999999,8491.8,37,0,91,97.3,0.0
1649.9999999999998,945.3,37,0,91,97.4,0.0
1684.4999999999998,1073.0,37,0,91,97.8,0.0
1719.0999999999997,1070.2,37,0,91,98.2,0.0
1753.5999999999997,1073.4,37,0,91,98.5,0.0
1788.0999999999997,1073.4,37,0,91,98.7,0.0
1822.5999999999997,1072.7,37,0,91,99.3,0.0
1857.1999999999996,1070.2,37,0,91,99.8,0.0
1891.7999999999995,1068.7,37,0,91,99.9,0.0
1926.3999999999994,1068.1,37,0,91,99.9,0.0
1969.3999999999994,836.5,36,1,91,98.8,0.2
2003.6999999999994,1048.3,36,1,91,99.0,0.2
2038.1999999999994,1044.8,36,1,91,99.4,0.2
2072.6999999999994,1044.5,36,1,91,99.4,0.2
2107.0999999999995,1045.7,36,1,91,99.5,0.2
2141.5999999999995,1042.6,36,1,91,99.9,0.2
2192.9999999999995,680.5,35,2,91,97.1,0.7
2227.0999999999995,1024.9,35,2,91,97.2,0.7
2261.3999999999996,1020.7,35,2,91,97.6,0.7
2295.5999999999995,1022.4,35,2,91,97.9,0.7
2329.7999999999993,1022.4,35,2,91,98.3,0.7
2364.0999999999995,1020.8,35,2,91,98.4,0.7
2398.3999999999996,1021.7,35,2,91,98.8,0.7
2432.7,1020.2,35,2,91,99.3,0.7
2467.1,1018.5,35,2,91,99.4,0.7
2501.5,1018.1,35,2,91,99.4,0.7
2535.9,1017.9,35,2,91,99.9,0.7
2588.1,651.7,34,3,91,96.8,1.3
2622.2,995.9,34,3,91,97.2,1.3
2656.3999999999996,995.1,34,3,91,97.2,1.3
2690.7,992.7,34,3,91,97.3,1.3
2724.8999999999996,994.4,34,3,91,97.7,1.3
2759.0999999999995,993.8,34,3,91,98.0,1.3
2793.4999999999995,987.8,34,3,91,98.2,1.3
2827.6999999999994,993.0,34,3,91,98.5,1.3
2861.9999999999995,991.1,34,3,91,98.9,1.3
2896.3999999999996,989.1,34,3,91,99.3,1.3
