Time elapsed (ms),Avg throughput (tokens/s),Running (reqs),Swapped (reqs),Pending (reqs),GPU KV cache usage (%),CPU KV cache usage (%)
0,0,0,0,0,0,0
613.5,12946.1,24,0,104,38.5,0.0
1083.8,17034.5,48,0,80,77.4,0.0
1338.5,16354.0,59,0,69,97.6,0.0
1363.8,2331.2,59,0,69,97.9,0.0
1388.8999999999999,2354.0,59,0,69,98.2,0.0
1413.8999999999999,2356.6,59,0,69,98.5,0.0
1438.9999999999998,2353.6,59,0,69,98.7,0.0
1464.0999999999997,2347.5,59,0,69,98.9,0.0
1489.1999999999996,2348.3,59,0,69,99.4,0.0
1514.3999999999996,2342.9,59,0,69,99.8,0.0
1557.8999999999996,1332.2,58,1,69,96.9,0.5
1582.8999999999996,2323.2,58,1,69,97.0,0.5
1607.9999999999995,2315.3,58,1,69,97.3,0.5
1632.9999999999995,2317.3,58,1,69,97.6,0.5
1658.0999999999995,2314.0,58,1,69,97.9,0.5
1683.0999999999995,2316.1,58,1,69,97.9,0.5
1708.1999999999994,2315.1,58,1,69,98.2,0.5
1733.2999999999993,2307.5,58,1,69,98.6,0.5
1758.3999999999992,2307.7,58,1,69,98.9,0.5
1783.499999999999,2306.7,58,1,69,99.2,0.5
1808.599999999999,2306.4,58,1,69,99.6,0.5
1833.799999999999,2303.1,58,1,69,99.8,0.5
1878.599999999999,1272.2,57,2,69,96.7,1.0
1903.499999999999,2288.3,57,2,69,97.0,1.0
1928.3999999999992,2290.3,57,2,69,97.4,1.0
1953.3999999999992,2283.6,57,2,69,97.8,1.0
1978.3999999999992,2280.6,57,2,69,97.9,1.0
2003.3999999999992,2280.1,57,2,69,98.0,1.0
2028.499999999999,2272.9,57,2,69,98.3,1.0
2053.599999999999,2272.4,57,2,69,98.6,1.0
2078.699999999999,2273.4,57,2,69,98.9,1.0
2103.799999999999,2271.2,57,2,69,99.0,1.0
2128.8999999999987,2266.5,57,2,69,99.2,1.0
2154.0999999999985,2265.8,57,2,69,99.7,1.0
2179.3999999999987,2252.6,57,2,69,99.9,1.0
2218.3999999999987,1437.3,56,3,69,97.8,1.4
2243.4999999999986,2232.3,56,3,69,98.2,1.4
2268.5999999999985,2235.3,56,3,69,98.4,1.4
2293.6999999999985,2228.7,56,3,69,98.6,1.4
2318.8999999999983,2225.7,56,3,69,98.9,1.4
2343.999999999998,2228.6,56,3,69,99.3,1.4
2369.199999999998,2221.8,56,3,69,99.7,1.4
2394.399999999998,2225.1,56,3,69,99.8,1.4
2419.4999999999977,2228.3,56,3,69,99.9,1.4
2461.799999999998,1300.1,55,4,69,97.3,1.9
2486.4999999999977,2226.7,55,4,69,97.5,1.9
2511.1999999999975,2223.2,55,4,69,97.8,1.9
2535.8999999999974,2225.0,55,4,69,97.9,1.9
2560.599999999997,2226.6,55,4,69,98.1,1.9
2585.3999999999974,2219.7,55,4,69,98.6,1.9
2610.1999999999975,2217.5,55,4,69,98.8,1.9
2634.9999999999977,2214.4,55,4,69,99.0,1.9
2659.799999999998,2213.8,55,4,69,99.4,1.9
2684.699999999998,2212.8,55,4,69,99.6,1.9
2709.599999999998,2207.9,55,4,69,99.8,1.9
2745.499999999998,1505.7,54,5,69,98.2,2.2
2770.099999999998,2197.9,54,5,69,98.6,2.2
2794.699999999998,2195.6,54,5,69,99.0,2.2
2819.399999999998,2188.7,54,5,69,99.2,2.2
2844.0999999999976,2189.2,54,5,69,99.2,2.2
2868.6999999999975,2190.7,54,5,69,99.5,2.2
2893.3999999999974,2182.8,54,5,69,99.8,2.2
2924.6999999999975,1695.5,53,6,69,98.9,2.4
2949.2999999999975,2155.9,53,6,69,99.0,2.4
2973.8999999999974,2152.1,53,6,69,99.2,2.4
2998.4999999999973,2150.5,53,6,69,99.7,2.4
3023.199999999997,2146.3,53,6,69,99.9,2.4
3058.4999999999973,1471.8,52,7,69,98.2,2.7
3082.9999999999973,2121.1,52,7,69,98.6,2.7
3107.4999999999973,2119.4,52,7,69,98.9,2.7
3132.099999999997,2110.7,52,7,69,99.1,2.7
3156.799999999997,2107.2,52,7,69,99.3,2.7
3181.499999999997,2108.0,52,7,69,99.8,2.7
3217.299999999997,1423.7,51,8,69,98.2,3.0
3241.799999999997,2083.2,51,8,69,98.2,3.0
3266.299999999997,2079.0,51,8,69,98.3,3.0
3290.899999999997,2073.8,51,8,69,98.6,3.0
3315.499999999997,2076.5,51,8,69,98.9,3.0
3340.0999999999967,2076.0,51,8,69,99.2,3.0
3364.5999999999967,2077.5,51,8,69,99.2,3.0
3389.1999999999966,2075.6,51,8,69,99.5,3.0
3413.7999999999965,2072.6,51,8,69,99.8,3.0
3445.5999999999967,1572.8,50,9,69,98.9,3.2
3470.0999999999967,2039.6,50,9,69,99.0,3.2
3494.5999999999967,2040.1,50,9,69,99.3,3.2
3519.0999999999967,2038.9,50,9,69,99.5,3.2
3543.5999999999967,2036.8,50,9,69,99.8,3.2
3578.399999999997,1406.4,49,10,69,98.2,3.5
3602.799999999997,2005.6,49,10,69,98.7,3.5
3627.199999999997,2004.7,49,10,69,99.0,3.5
3651.699999999997,1998.7,49,10,69,99.1,3.5
3676.199999999997,2002.4,49,10,69,99.2,3.5
3700.699999999997,1998.9,49,10,69,99.5,3.5
3725.299999999997,1993.2,49,10,69,99.7,3.5
3758.299999999997,1455.8,48,11,69,98.6,3.7
3782.699999999997,1970.4,48,11,69,98.6,3.7
3807.099999999997,1967.7,48,11,69,98.8,3.7
3831.4999999999973,1966.3,48,11,69,99.1,3.7
3855.9999999999973,1961.0,48,11,69,99.3,3.7
3880.3999999999974,1963.4,48,11,69,99.5,3.7
3904.8999999999974,1959.6,48,11,69,99.8,3.7
3940.9999999999973,1300.4,47,12,69,98.0,4.0
3965.2999999999975,1935.8,47,12,69,98.2,4.0
3989.5999999999976,1934.4,47,12,69,98.5,4.0
4013.899999999998,1933.3,47,12,69,98.9,4.0
4038.199999999998,1930.5,47,12,69,99.2,4.0
4062.599999999998,1928.4,47,12,69,99.3,4.0
4086.8999999999983,1931.5,47,12,69,99.4,4.0
4111.299999999998,1928.7,47,12,69,99.7,4.0
4135.699999999998,1922.8,47,12,69,99.9,4.0
4168.199999999998,1417.0,46,13,69,98.9,4.2
4192.499999999998,1893.5,46,13,69,98.9,4.2
4216.799999999998,1894.4,46,13,69,99.1,4.2
4241.0999999999985,1893.9,46,13,69,99.4,4.2
4265.499999999998,1887.3,46,13,69,99.6,4.2
4289.799999999998,1891.5,46,13,69,99.8,4.2
4325.799999999998,1249.0,45,14,69,98.0,4.5
4349.999999999998,1859.5,45,14,69,98.2,4.5
4374.199999999998,1856.8,45,14,69,98.5,4.5
4398.499999999998,1852.4,45,14,69,98.7,4.5
4422.799999999998,1853.6,45,14,69,99.1,4.5
4447.0999999999985,1852.1,45,14,69,99.4,4.5
4471.399999999999,1850.7,45,14,69,99.5,4.5
4495.699999999999,1851.0,45,14,69,99.5,4.5
4519.999999999999,1849.4,45,14,69,99.8,4.5
4556.999999999999,1188.6,44,15,69,97.9,4.9
4581.199999999999,1818.5,44,15,69,98.2,4.9
4605.399999999999,1819.7,44,15,69,98.3,4.9
4629.699999999999,1812.6,44,15,69,98.5,4.9
4653.999999999999,1812.2,44,15,69,98.7,4.9
4678.399999999999,1806.1,44,15,69,98.9,4.9
4702.699999999999,1811.9,44,15,69,99.0,4.9
4726.999999999999,1812.5,44,15,69,99.2,4.9
4751.299999999999,1809.6,44,15,69,99.5,4.9
4775.599999999999,1807.8,44,15,69,99.7,4.9
4799.999999999999,1805.9,44,15,69,99.9,4.9
4838.799999999999,1108.7,43,16,69,97.9,5.3
4862.999999999999,1775.7,43,16,69,98.2,5.3
4887.199999999999,1778.5,43,16,69,98.2,5.3
