step_id,dur(ms),running_reqs,resumed_reqs,raw_running
1,266.0170,6,0,6
2,218.7297,10,0,10
3,217.0379,16,0,16
4,221.8494,22,0,22
5,190.3775,27,0,27
6,205.5931,32,0,32
7,192.2584,37,0,37
8,38.9771,37,0,37
9,34.2026,37,0,37
10,34.2951,37,0,37
11,34.1971,37,0,37
12,34.2021,37,0,37
13,34.2202,37,0,37
14,34.2991,37,0,37
15,34.3091,37,0,37
16,34.3738,37,0,37
17,42.7647,36,0,36
18,34.0736,36,0,36
19,34.1871,36,0,36
20,34.1544,36,0,36
21,34.1539,36,0,36
22,34.2572,36,0,36
23,51.1620,35,0,35
24,33.8802,35,0,35
25,34.0223,35,0,35
26,33.9618,35,0,35
27,33.9625,35,0,35
28,34.0188,35,0,35
29,33.9854,35,0,35
30,34.0457,35,0,35
31,34.1008,35,0,35
32,34.0743,35,0,35
33,34.1175,35,0,35
34,51.9004,34,0,34
35,33.8807,34,0,34
36,33.9088,34,0,34
37,33.9863,34,0,34
38,33.9291,34,0,34
39,33.9460,34,0,34
40,34.1535,34,0,34
41,33.9770,34,0,34
42,34.0440,34,0,34
43,34.1098,34,0,34
44,34.0598,34,0,34
45,34.0612,34,0,34
46,43.2830,33,0,33
47,34.0948,33,0,33
48,33.9897,33,0,33
49,34.0397,33,0,33
50,34.0004,33,0,33
51,34.1034,33,0,33
52,34.0538,33,0,33
53,34.0660,33,0,33
54,55.7728,32,0,32
55,33.7708,32,0,32
56,33.8075,32,0,32
57,33.7894,32,0,32
58,33.8159,32,0,32
59,33.8266,32,0,32
60,33.8626,32,0,32
61,33.9715,32,0,32
62,33.9081,32,0,32
63,33.9203,32,0,32
64,33.9494,32,0,32
65,33.9544,32,0,32
66,34.0381,32,0,32
67,34.0462,32,0,32
68,34.0085,32,0,32
69,34.0440,32,0,32
70,34.0526,32,0,32
71,47.3311,31,0,31
72,33.8058,31,0,31
73,33.8650,31,0,31
74,33.8719,31,0,31
75,33.8678,31,0,31
76,33.9677,31,0,31
77,33.8974,31,0,31
78,33.9315,31,0,31
79,33.9928,31,0,31
80,33.9782,31,0,31
81,59.6485,30,0,30
82,33.5166,30,0,30
83,33.5290,30,0,30
84,33.5128,30,0,30
85,33.5290,30,0,30
86,33.5815,30,0,30
87,33.5414,30,0,30
88,33.5526,30,0,30
89,33.5810,30,0,30
90,33.6211,30,0,30
91,33.7710,30,0,30
92,33.6485,30,0,30
93,33.7031,30,0,30
94,33.6821,30,0,30
95,33.6952,30,0,30
96,33.8721,30,0,30
97,33.7691,30,0,30
98,33.7172,30,0,30
99,33.7882,30,0,30
100,33.7994,30,0,30
101,33.8562,30,0,30
102,51.0888,29,0,29
103,33.5875,29,0,29
104,33.5760,29,0,29
105,33.5698,29,0,29
106,33.5987,29,0,29
107,33.7641,29,0,29
108,33.6900,29,0,29
109,33.7918,29,0,29
110,33.7491,29,0,29
111,33.7305,29,0,29
112,33.7479,29,0,29
113,33.8013,29,0,29
114,47.1313,28,0,28
115,33.5751,28,0,28
116,33.5517,28,0,28
117,33.5197,28,0,28
118,33.5500,28,0,28
119,33.6044,28,0,28
120,33.5853,28,0,28
121,33.6020,28,0,28
122,33.6175,28,0,28
123,33.6666,28,0,28
124,33.6673,28,0,28
125,33.7372,28,0,28
126,58.3830,27,0,27
127,33.4067,27,0,27
128,33.4020,27,0,27
129,33.4506,27,0,27
130,33.4446,27,0,27
131,33.4687,27,0,27
132,33.5174,27,0,27
133,33.5219,27,0,27
134,33.5028,27,0,27
135,33.5460,27,0,27
136,33.5243,27,0,27
137,33.5488,27,0,27
138,33.5991,27,0,27
139,33.6607,27,0,27
140,33.6161,27,0,27
141,33.6187,27,0,27
142,33.6483,27,0,27
143,33.6599,27,0,27
144,33.6573,27,0,27
145,33.6916,27,0,27
146,33.7644,27,0,27
147,49.7158,26,0,26
148,33.4449,26,0,26
149,33.4327,26,0,26
150,33.4637,26,0,26
151,33.5400,26,0,26
152,33.4692,26,0,26
153,33.5636,26,0,26
154,33.5355,26,0,26
155,33.5743,26,0,26
156,33.5650,26,0,26
157,33.6053,26,0,26
158,33.6304,26,0,26
159,33.6194,26,0,26
160,33.6764,26,0,26
161,33.6368,26,0,26
162,55.0866,25,0,25
163,33.4334,25,0,25
164,33.3850,25,0,25
165,33.4136,25,0,25
166,33.4203,25,0,25
167,33.4120,25,0,25
168,33.5376,25,0,25
169,33.4890,25,0,25
170,33.4795,25,0,25
171,33.5975,25,0,25
172,33.6068,25,0,25
173,33.6199,25,0,25
174,33.6113,25,0,25
175,33.8774,25,0,25
176,33.6347,25,0,25
177,33.6688,25,0,25
178,33.6611,25,0,25
179,33.7210,25,0,25
180,33.6897,25,0,25
181,33.7057,25,0,25
182,33.7453,25,0,25
183,33.7968,25,0,25
184,66.0870,24,0,24
185,32.9671,24,0,24
186,32.9792,24,0,24
187,33.0398,24,0,24
188,33.0174,24,0,24
189,33.0153,24,0,24
190,33.0446,24,0,24
191,33.1182,24,0,24
192,33.0746,24,0,24
193,33.1099,24,0,24
194,33.1008,24,0,24
195,33.0994,24,0,24
196,33.0973,24,0,24
197,33.0961,24,0,24
198,33.1810,24,0,24
199,33.1793,24,0,24
200,33.1841,24,0,24
201,33.1678,24,0,24
202,33.1893,24,0,24
203,33.2170,24,0,24
204,33.2015,24,0,24
205,33.2229,24,0,24
206,33.3068,24,0,24
207,33.3302,24,0,24
208,33.2940,24,0,24
209,33.3002,24,0,24
210,33.2954,24,0,24
211,33.3116,24,0,24
212,33.3285,24,0,24
213,33.3259,24,0,24
214,33.3517,24,0,24
215,33.4330,24,0,24
216,33.3838,24,0,24
217,51.6310,23,0,23
218,33.0956,23,0,23
219,33.1061,23,0,23
220,33.1519,23,0,23
221,33.1380,23,0,23
222,33.1330,23,0,23
223,33.1666,23,0,23
224,33.2456,23,0,23
225,33.1774,23,0,23
226,33.2310,23,0,23
227,33.2084,23,0,23
228,33.1941,23,0,23
229,33.2210,23,0,23
230,33.2584,23,0,23
231,33.2696,23,0,23
232,33.2608,23,0,23
233,33.3445,23,0,23
234,33.3004,23,0,23
235,33.3068,23,0,23
236,50.7994,22,0,22
237,32.8393,22,0,22
238,32.8434,22,0,22
239,32.8648,22,0,22
240,32.8753,22,0,22
241,32.8782,22,0,22
242,32.9900,22,0,22
243,32.9199,22,0,22
244,32.9211,22,0,22
245,32.9206,22,0,22
246,32.9452,22,0,22
247,32.9492,22,0,22
248,32.9742,22,0,22
249,33.0174,22,0,22
250,33.0369,22,0,22
251,33.0806,22,0,22
252,32.9981,22,0,22
253,33.0362,22,0,22
254,57.9772,21,0,21
255,32.7735,21,0,21
256,32.7351,21,0,21
