step_id,dur(ms),running_reqs,resumed_reqs,raw_running
1,526.3019,24,0,24
2,470.0606,48,0,48
3,254.4131,59,0,59
4,25.0561,59,0,59
5,24.7114,59,0,59
6,24.6835,59,0,59
7,24.7200,59,0,59
8,24.7912,59,0,59
9,24.7810,59,0,59
10,24.8249,59,0,59
11,43.1852,58,0,58
12,24.6058,58,0,58
13,24.6603,58,0,58
14,24.6782,58,0,58
15,24.7145,58,0,58
16,24.6913,58,0,58
17,24.7028,58,0,58
18,24.7834,58,0,58
19,24.7838,58,0,58
20,24.7948,58,0,58
21,24.7993,58,0,58
22,24.8151,58,0,58
23,44.4572,57,0,57
24,24.5557,57,0,57
25,24.5409,57,0,57
26,24.6162,57,0,57
27,24.6451,57,0,57
28,24.6491,57,0,57
29,24.7293,57,0,57
30,24.7345,57,0,57
31,24.7216,57,0,57
32,24.7445,57,0,57
33,24.8022,57,0,57
34,24.8098,57,0,57
35,24.9214,57,0,57
36,38.6176,56,0,56
37,24.7376,56,0,56
38,24.7104,56,0,56
39,24.7815,56,0,56
40,24.8122,56,0,56
41,24.7862,56,0,56
42,24.8601,56,0,56
43,24.8115,56,0,56
44,24.7869,56,0,56
45,41.9559,55,0,55
46,24.3595,55,0,55
47,24.3926,55,0,55
48,24.3812,55,0,55
49,24.3552,55,0,55
50,24.4324,55,0,55
51,24.4279,55,0,55
52,24.4975,55,0,55
53,24.5090,55,0,55
54,24.5163,55,0,55
55,24.5552,55,0,55
56,35.5208,54,0,54
57,24.2276,54,0,54
58,24.2603,54,0,54
59,24.3416,54,0,54
60,24.3311,54,0,54
61,24.3142,54,0,54
62,24.3652,54,0,54
63,30.9260,53,0,53
64,24.2386,53,0,53
65,24.2984,53,0,53
66,24.3146,53,0,53
67,24.3587,53,0,53
68,35.0020,52,0,52
69,24.1868,52,0,52
70,24.2014,52,0,52
71,24.3070,52,0,52
72,24.3509,52,0,52
73,24.3287,52,0,52
74,35.4879,51,0,51
75,24.1516,51,0,51
76,24.2004,51,0,51
77,24.2648,51,0,51
78,24.2336,51,0,51
79,24.2362,51,0,51
80,24.2186,51,0,51
81,24.2391,51,0,51
82,24.2815,51,0,51
83,31.4610,50,0,50
84,24.1897,50,0,50
85,24.1804,50,0,50
86,24.2028,50,0,50
87,24.2226,50,0,50
88,34.5140,49,0,49
89,24.1115,49,0,49
90,24.1175,49,0,49
91,24.1866,49,0,49
92,24.1477,49,0,49
93,24.1914,49,0,49
94,24.2226,49,0,49
95,32.6540,48,0,48
96,24.0383,48,0,48
97,24.0736,48,0,48
98,24.0917,48,0,48
99,24.1215,48,0,48
100,24.1265,48,0,48
101,24.1723,48,0,48
102,35.8176,47,0,47
103,23.9558,47,0,47
104,23.9503,47,0,47
105,24.0021,47,0,47
106,24.0326,47,0,47
107,24.0591,47,0,47
108,24.0192,47,0,47
109,24.0495,47,0,47
110,24.0889,47,0,47
111,32.1555,46,0,46
112,23.9801,46,0,46
113,23.9680,46,0,46
114,23.9825,46,0,46
115,24.0238,46,0,46
116,24.0140,46,0,46
117,35.7249,45,0,45
118,23.8941,45,0,45
119,23.9305,45,0,45
120,23.9608,45,0,45
121,23.9718,45,0,45
122,23.9964,45,0,45
123,24.0126,45,0,45
124,24.0018,45,0,45
125,24.0257,45,0,45
126,36.6740,44,0,44
127,23.8881,44,0,44
128,23.8793,44,0,44
129,23.9744,44,0,44
130,23.9778,44,0,44
131,24.0257,44,0,44
132,23.9818,44,0,44
133,23.9661,44,0,44
134,24.0102,44,0,44
135,24.0366,44,0,44
136,24.0583,44,0,44
137,38.4421,43,0,43
138,23.9165,43,0,43
139,23.8652,43,0,43
140,23.8891,43,0,43
141,23.8936,43,0,43
142,23.9573,43,0,43
143,23.9615,43,0,43
144,24.0166,43,0,43
145,24.0006,43,0,43
146,24.0622,43,0,43
147,24.0109,43,0,43
148,24.0724,43,0,43
149,33.0257,42,0,42
150,24.0192,42,0,42
151,23.9329,42,0,42
152,23.9773,42,0,42
153,23.9713,42,0,42
154,24.0314,42,0,42
155,23.9525,42,0,42
156,34.1957,41,0,41
157,23.8509,41,0,41
158,23.8917,41,0,41
159,23.8445,41,0,41
160,23.9205,41,0,41
161,23.9174,41,0,41
162,23.9537,41,0,41
163,23.9351,41,0,41
164,23.9971,41,0,41
165,33.3958,40,0,40
166,23.8314,40,0,40
167,23.8144,40,0,40
168,23.8631,40,0,40
169,23.8500,40,0,40
170,23.8974,40,0,40
171,23.8440,40,0,40
172,23.8945,40,0,40
173,45.0177,39,0,39
174,23.6113,39,0,39
175,23.7811,39,0,39
176,23.6492,39,0,39
177,23.6588,39,0,39
178,23.6976,39,0,39
179,23.7026,39,0,39
180,23.6595,39,0,39
181,23.7613,39,0,39
182,23.7501,39,0,39
183,23.8051,39,0,39
184,23.7558,39,0,39
185,23.8802,39,0,39
186,23.8161,39,0,39
187,23.8512,39,0,39
188,23.9234,39,0,39
189,23.8810,39,0,39
190,23.8600,39,0,39
191,23.9844,39,0,39
192,36.5331,38,0,38
193,23.6614,38,0,38
194,23.6847,38,0,38
195,23.6428,38,0,38
196,23.7098,38,0,38
197,23.6831,38,0,38
198,23.6535,38,0,38
199,23.6783,38,0,38
200,23.7601,38,0,38
201,23.7312,38,0,38
202,23.7658,38,0,38
203,46.0715,37,0,37
204,23.1240,37,0,37
205,23.1299,37,0,37
206,23.2129,37,0,37
207,23.1946,37,0,37
208,23.1466,37,0,37
209,23.3421,37,0,37
210,23.1538,37,0,37
211,23.1638,37,0,37
212,23.2587,37,0,37
213,23.1621,37,0,37
214,23.2255,37,0,37
215,23.3083,37,0,37
216,23.2563,37,0,37
217,23.2792,37,0,37
218,23.4215,37,0,37
219,23.3450,37,0,37
220,23.3862,37,0,37
221,23.4392,37,0,37
222,23.3769,37,0,37
223,23.3977,37,0,37
224,23.5181,37,0,37
225,23.4096,37,0,37
226,35.3091,36,0,36
227,23.3209,36,0,36
228,23.2639,36,0,36
229,23.3107,36,0,36
230,23.3598,36,0,36
231,23.2961,36,0,36
232,23.3252,36,0,36
233,23.4208,36,0,36
234,23.3464,36,0,36
235,23.4044,36,0,36
236,23.4468,36,0,36
237,41.6017,35,0,35
238,23.1462,35,0,35
239,23.1543,35,0,35
240,23.2298,35,0,35
241,23.1519,35,0,35
242,23.1738,35,0,35
243,23.1802,35,0,35
244,23.2601,35,0,35
245,23.2010,35,0,35
246,23.2272,35,0,35
247,23.2389,35,0,35
248,23.4370,35,0,35
249,23.2415,35,0,35
250,23.2842,35,0,35
251,23.2842,35,0,35
252,23.3724,35,0,35
253,23.3257,35,0,35
254,23.3405,35,0,35
255,42.0270,34,0,34
256,23.1786,34,0,34
257,23.1190,34,0,34
258,23.1433,34,0,34
259,23.1490,34,0,34
260,23.2239,34,0,34
261,23.1793,34,0,34
262,23.2232,34,0,34
263,23.1919,34,0,34
264,23.3018,34,0,34
265,23.2322,34,0,34
266,23.2542,34,0,34
267,23.2475,34,0,34
268,23.4113,34,0,34
