Time elapsed (ms),Avg throughput (tokens/s),Running (reqs),Swapped (reqs),Pending (reqs),GPU KV cache usage (%),CPU KV cache usage (%)
0,0,0,0,0,0,0
595.5,13337.4,24,0,104,66.8,0.0
816.8,16335.6,34,0,94,97.1,0.0
837.0,1682.7,34,0,94,97.2,0.0
857.0,1700.3,34,0,94,97.6,0.0
877.0,1700.9,34,0,94,98.0,0.0
897.0,1695.8,34,0,94,98.4,0.0
917.0,1699.3,34,0,94,98.5,0.0
937.1,1693.5,34,0,94,98.8,0.0
957.2,1691.5,34,0,94,99.3,0.0
977.3000000000001,1693.7,34,0,94,99.5,0.0
997.4000000000001,1695.6,34,0,94,99.5,0.0
1017.5000000000001,1644.0,33,0,95,98.4,0.0
1037.4,1656.6,33,0,95,98.7,0.0
1057.4,1652.9,33,0,95,99.1,0.0
1077.4,1648.5,33,0,95,99.1,0.0
1097.4,1651.2,33,0,95,99.2,0.0
1117.4,1648.0,33,0,95,99.5,0.0
1137.5,1644.2,33,0,95,99.9,0.0
1157.5,1599.5,32,0,96,95.9,0.0
1177.4,1605.5,32,0,96,96.3,0.0
1197.4,1597.5,32,0,96,96.7,0.0
1217.3000000000002,1604.3,32,0,96,97.1,0.0
1237.3000000000002,1601.0,32,0,96,97.2,0.0
1257.3000000000002,1597.1,32,0,96,97.5,0.0
1277.3000000000002,1598.7,32,0,96,97.9,0.0
1297.4,1595.2,32,0,96,98.0,0.0
1317.7,1575.0,32,0,96,98.0,0.0
1337.7,1598.0,32,0,96,98.5,0.0
1357.8,1595.7,32,0,96,98.8,0.0
1378.0,1586.7,32,0,96,99.2,0.0
1398.1,1590.9,32,0,96,99.2,0.0
1418.1999999999998,1592.9,32,0,96,99.3,0.0
1438.2999999999997,1589.4,32,0,96,99.6,0.0
1458.3999999999996,1543.5,31,0,97,97.6,0.0
1478.3999999999996,1551.9,31,0,97,97.8,0.0
1498.3999999999996,1549.4,31,0,97,98.2,0.0
1518.4999999999995,1545.0,31,0,97,98.5,0.0
1538.4999999999995,1549.9,31,0,97,98.9,0.0
1558.4999999999995,1546.3,31,0,97,99.1,0.0
1578.4999999999995,1548.3,31,0,97,99.3,0.0
1598.5999999999995,1540.0,31,0,97,99.7,0.0
1618.6999999999994,1542.8,31,0,97,99.9,0.0
1638.7999999999993,1540.9,31,0,97,99.9,0.0
1658.6999999999994,1507.9,30,0,98,95.5,0.0
1678.4999999999993,1516.2,30,0,98,95.8,0.0
1698.2999999999993,1512.3,30,0,98,96.0,0.0
1718.0999999999992,1516.1,30,0,98,96.0,0.0
1737.8999999999992,1512.1,30,0,98,96.2,0.0
1757.6999999999991,1512.2,30,0,98,96.4,0.0
1777.499999999999,1512.3,30,0,98,96.8,0.0
1797.3999999999992,1508.9,30,0,98,97.0,0.0
1817.2999999999993,1508.5,30,0,98,97.4,0.0
1837.1999999999994,1510.7,30,0,98,97.8,0.0
1857.0999999999995,1508.4,30,0,98,98.2,0.0
1876.9999999999995,1507.9,30,0,98,98.3,0.0
1896.9999999999995,1503.5,30,0,98,98.5,0.0
1916.9999999999995,1503.5,30,0,98,98.8,0.0
1936.8999999999996,1506.1,30,0,98,98.9,0.0
1956.7999999999997,1506.1,30,0,98,98.9,0.0
1976.6999999999998,1504.7,30,0,98,99.5,0.0
1996.7999999999997,1495.9,30,0,98,99.7,0.0
2016.6999999999998,1460.1,29,0,99,97.0,0.0
2036.4999999999998,1465.2,29,0,99,97.0,0.0
2056.2999999999997,1464.7,29,0,99,97.0,0.0
2076.1,1463.5,29,0,99,97.2,0.0
2096.0,1459.2,29,0,99,97.6,0.0
2115.9,1458.6,29,0,99,97.8,0.0
2135.7000000000003,1461.4,29,0,99,98.2,0.0
2155.6000000000004,1458.5,29,0,99,98.5,0.0
2175.5000000000005,1455.3,29,0,99,98.9,0.0
2195.4000000000005,1456.2,29,0,99,99.1,0.0
2215.3000000000006,1456.0,29,0,99,99.3,0.0
2235.3000000000006,1451.9,29,0,99,99.6,0.0
2255.2000000000007,1457.1,29,0,99,99.7,0.0
2275.2000000000007,1451.9,29,0,99,99.7,0.0
2295.100000000001,1409.9,28,0,100,97.9,0.0
2314.900000000001,1413.3,28,0,100,98.2,0.0
2334.700000000001,1413.0,28,0,100,98.4,0.0
2354.6000000000013,1409.4,28,0,100,98.4,0.0
2374.4000000000015,1413.4,28,0,100,98.4,0.0
2394.2000000000016,1412.9,28,0,100,98.7,0.0
2414.000000000002,1414.5,28,0,100,99.1,0.0
2433.900000000002,1408.0,28,0,100,99.2,0.0
2453.800000000002,1410.4,28,0,100,99.5,0.0
2473.800000000002,1397.9,28,0,100,99.9,0.0
2493.600000000002,1366.7,27,0,101,95.6,0.0
2513.300000000002,1371.3,27,0,101,95.8,0.0
2533.000000000002,1367.2,27,0,101,96.0,0.0
2552.7000000000016,1369.9,27,0,101,96.3,0.0
2572.4000000000015,1370.0,27,0,101,96.4,0.0
2592.1000000000013,1368.7,27,0,101,96.4,0.0
2611.9000000000015,1363.8,27,0,101,97.0,0.0
2631.6000000000013,1367.6,27,0,101,97.2,0.0
2651.4000000000015,1366.5,27,0,101,97.5,0.0
2671.1000000000013,1369.4,27,0,101,97.5,0.0
2690.800000000001,1368.3,27,0,101,97.5,0.0
2710.6000000000013,1362.6,27,0,101,97.8,0.0
2730.4000000000015,1366.8,27,0,101,98.2,0.0
2750.2000000000016,1363.7,27,0,101,98.3,0.0
2770.000000000002,1364.4,27,0,101,98.4,0.0
2789.800000000002,1361.4,27,0,101,98.8,0.0
2809.700000000002,1358.9,27,0,101,99.2,0.0
2829.600000000002,1358.6,27,0,101,99.3,0.0
2849.5000000000023,1359.5,27,0,101,99.6,0.0
2869.4000000000024,1354.2,27,0,101,99.9,0.0
2889.3000000000025,1308.9,26,0,102,97.2,0.0
2909.1000000000026,1315.7,26,0,102,97.2,0.0
2928.900000000003,1314.9,26,0,102,97.6,0.0
2948.700000000003,1314.8,26,0,102,97.9,0.0
2968.500000000003,1310.8,26,0,102,98.2,0.0
2988.3000000000034,1313.5,26,0,102,98.2,0.0
