Time elapsed (ms),Avg throughput (tokens/s),Running (reqs),Swapped (reqs),Pending (reqs),GPU KV cache usage (%),CPU KV cache usage (%)
0,0,0,0,0,0,0
591.7,13423.800000000001,24,0,104,66.8,0.0
814.2,16247.9,34,0,94,97.1,0.0
834.5,1671.1,34,0,94,97.2,0.0
854.6,1687.9,34,0,94,97.6,0.0
874.7,1693.6,34,0,94,98.0,0.0
894.8000000000001,1689.9,34,0,94,98.4,0.0
914.9000000000001,1693.0,34,0,94,98.5,0.0
935.1000000000001,1685.4,34,0,94,98.8,0.0
955.3000000000002,1684.6,34,0,94,99.3,0.0
975.5000000000002,1687.0,34,0,94,99.5,0.0
995.7000000000003,1685.9,34,0,94,99.5,0.0
1021.2000000000003,1294.1,33,1,94,98.4,0.1
1041.2000000000003,1651.3,33,1,94,98.7,0.1
1061.2000000000003,1648.0,33,1,94,99.1,0.1
1081.3000000000002,1644.2,33,1,94,99.1,0.1
1101.3000000000002,1646.5,33,1,94,99.2,0.1
1121.3000000000002,1646.3,33,1,94,99.5,0.1
1141.5000000000002,1636.9,33,1,94,99.9,0.1
1175.6000000000001,938.9,32,2,94,95.9,0.5
1195.6000000000001,1601.6,32,2,94,96.3,0.5
1215.7,1595.6,32,2,94,96.7,0.5
1235.7,1597.8,32,2,94,97.1,0.5
1255.8,1593.0,32,2,94,97.2,0.5
1275.8999999999999,1594.0,32,2,94,97.5,0.5
1295.9999999999998,1595.1,32,2,94,97.9,0.5
1316.0999999999997,1593.2,32,2,94,98.0,0.5
1336.4999999999998,1570.9,32,2,94,98.0,0.5
1356.5999999999997,1592.7,32,2,94,98.5,0.5
1376.7999999999997,1586.3,32,2,94,98.8,0.5
1396.8999999999996,1589.3,32,2,94,99.2,0.5
1417.0999999999997,1587.7,32,2,94,99.2,0.5
1437.1999999999996,1589.4,32,2,94,99.3,0.5
1457.3999999999996,1585.6,32,2,94,99.6,0.5
1485.5999999999997,1097.7,31,3,94,97.6,0.7
1505.5999999999997,1546.1,31,3,94,97.8,0.7
1525.5999999999997,1548.5,31,3,94,98.2,0.7
1545.6999999999996,1541.0,31,3,94,98.5,0.7
1565.7999999999995,1546.0,31,3,94,98.9,0.7
1585.8999999999994,1544.2,31,3,94,99.1,0.7
