step_id,dur(ms),running_reqs,resumed_reqs,raw_running
1,504.6308,24,0,24
2,222.2025,34,0,34
3,20.1545,34,0,34
4,19.8812,34,0,34
5,19.8214,34,0,34
6,19.8665,34,0,34
7,19.8236,34,0,34
8,19.9199,34,0,34
9,19.9292,34,0,34
10,19.8958,34,0,34
11,19.9139,34,0,34
12,25.2442,33,0,33
13,19.7239,33,0,33
14,19.7644,33,0,33
15,19.8092,33,0,33
16,19.7785,33,0,33
17,19.7906,33,0,33
18,19.8603,33,0,33
19,33.8182,32,0,32
20,19.7282,32,0,32
21,19.8002,32,0,32
22,19.7728,32,0,32
23,19.8021,32,0,32
24,19.8228,32,0,32
25,19.8047,32,0,32
26,19.8326,32,0,32
27,20.1166,32,0,32
28,19.8355,32,0,32
29,19.8767,32,0,32
30,19.8784,32,0,32
31,19.8896,32,0,32
32,19.8801,32,0,32
33,19.9277,32,0,32
34,27.9851,31,0,31
35,19.7968,31,0,31
36,19.7682,31,0,31
37,19.8615,31,0,31
38,19.8042,31,0,31
39,19.8216,31,0,31
40,19.8154,31,0,31
41,19.9120,31,0,31
42,19.8741,31,0,31
43,19.8576,31,0,31
44,36.5124,30,0,30
45,19.6040,30,0,30
46,19.6493,30,0,30
47,19.6233,30,0,30
48,19.6183,30,0,30
49,19.6340,30,0,30
50,19.6910,30,0,30
51,19.6891,30,0,30
52,19.6755,30,0,30
53,19.6648,30,0,30
54,19.7139,30,0,30
55,19.6877,30,0,30
56,19.7856,30,0,30
57,19.7248,30,0,30
58,19.7179,30,0,30
59,19.7444,30,0,30
60,19.7456,30,0,30
61,19.8100,30,0,30
62,30.0989,29,0,29
63,19.6185,29,0,29
64,19.6025,29,0,29
65,19.6307,29,0,29
66,19.6440,29,0,29
67,19.7499,29,0,29
68,19.6559,29,0,29
69,19.6836,29,0,29
70,19.7167,29,0,29
71,19.7473,29,0,29
72,19.7320,29,0,29
73,19.7952,29,0,29
74,19.7594,29,0,29
75,19.7787,29,0,29
76,27.8852,28,0,28
77,19.6238,28,0,28
78,19.6652,28,0,28
79,19.6898,28,0,28
80,19.6502,28,0,28
81,19.6445,28,0,28
82,19.6373,28,0,28
83,19.6695,28,0,28
84,19.6800,28,0,28
85,19.9232,28,0,28
86,35.6669,27,0,27
87,19.6176,27,0,27
88,19.5532,27,0,27
89,19.6221,27,0,27
90,19.6035,27,0,27
91,19.5947,27,0,27
92,19.6722,27,0,27
93,19.6335,27,0,27
94,19.6381,27,0,27
95,19.6178,27,0,27
96,19.6009,27,0,27
97,19.6671,27,0,27
98,19.6869,27,0,27
99,19.7566,27,0,27
100,19.7315,27,0,27
101,19.7177,27,0,27
102,19.7861,27,0,27
103,19.8019,27,0,27
104,19.7928,27,0,27
105,19.8445,27,0,27
106,29.2072,26,0,26
107,19.5811,26,0,26
108,19.5727,26,0,26
109,19.5959,26,0,26
110,19.5987,26,0,26
