Time elapsed (s),Avg prompt throughput (tokens/s),Avg generation throughput (tokens/s),Running (reqs),Swapped (reqs),Pending (reqs),GPU KV cache usage (%),CPU KV cache usage (%)
1,2698.6,5.3,32,0,224,35.6,0.0
2,17601.7,34.4,89,0,167,99.0,0.0
3,0.0,2212.4,84,0,172,99.2,0.0
4,0.0,2200.0,79,0,177,98.8,0.0
5,0.0,2122.9,75,0,181,99.0,0.0
6,0.0,2029.5,73,0,183,98.9,0.0
7,0.0,1953.5,70,0,186,99.7,0.0
8,0.0,1883.7,66,0,190,98.6,0.0
9,0.0,1827.3,63,0,193,98.5,0.0
10,0.0,1796.1,62,0,194,99.1,0.0
11,0.0,1738.7,59,0,197,98.4,0.0
12,0.0,1671.9,57,0,199,99.0,0.0
13,0.0,1430.1,55,0,201,99.4,0.0
14,0.0,1574.9,54,0,202,99.4,0.0
15,0.0,1537.3,52,0,204,99.4,0.0
16,0.0,1482.7,50,0,206,99.0,0.0
17,0.0,1432.2,48,0,208,98.4,0.0
18,0.0,1388.2,47,0,209,99.6,0.0
19,0.0,1352.6,45,0,211,98.5,0.0
20,8846.7,640.0,19,0,193,35.9,0.0
21,17254.7,31.0,70,0,142,98.4,0.0
22,500.9,1839.3,69,0,142,99.4,0.0
23,1001.7,1716.4,67,0,142,99.7,0.0
24,567.6,1747.9,65,0,143,99.9,0.0
25,567.0,1741.0,63,0,144,99.4,0.0
26,1135.0,1624.3,61,0,144,99.2,0.0
27,1149.8,1585.9,59,0,144,98.9,0.0
28,586.0,1614.2,57,0,144,96.5,0.0
29,1702.6,1460.6,57,0,143,99.5,0.0
30,1130.9,1477.1,55,0,143,98.9,0.0
31,1966.0,1373.7,56,0,139,98.9,0.0
32,508.0,1512.2,54,0,140,99.3,0.0
33,2575.5,1291.2,54,0,137,99.6,0.0
34,511.7,1489.5,51,0,137,94.9,0.0
35,3514.8,1210.7,54,0,132,99.7,0.0
36,2052.8,1337.3,54,0,129,98.3,0.0
37,1520.4,1216.3,54,0,127,99.7,0.0
38,2910.1,1285.2,55,0,122,98.4,0.0
39,2488.1,1334.8,56,0,118,99.8,0.0
40,4210.0,1179.1,58,0,111,98.7,0.0
41,10941.9,614.8,67,0,77,83.7,0.0
42,6497.2,1332.4,77,0,67,99.0,0.0
43,0.0,2061.3,75,0,69,99.7,0.0
44,0.0,1973.0,71,0,73,99.4,0.0
45,0.0,1893.3,67,0,77,98.9,0.0
46,599.9,1766.2,65,0,78,98.6,0.0
47,0.0,1805.7,63,0,80,99.5,0.0
48,671.6,1672.6,60,0,82,98.3,0.0
49,0.0,1699.4,58,0,84,99.2,0.0
50,0.0,1638.2,56,0,86,99.9,0.0
51,1465.2,1415.4,54,0,86,97.6,0.0
52,0.0,1556.4,53,0,87,99.5,0.0
53,2303.3,1283.3,52,0,85,99.6,0.0
54,1469.6,1349.6,51,0,84,99.5,0.0
55,2828.3,1203.5,50,0,82,98.5,0.0
56,2033.4,1255.1,49,0,81,98.8,0.0
57,2547.1,1205.6,50,0,77,99.8,0.0
58,2975.6,1167.5,50,0,73,99.4,0.0
59,3837.7,1113.2,52,0,66,98.7,0.0
60,4942.1,1073.1,56,0,56,98.8,0.0
61,10367.2,534.0,68,0,20,87.9,0.0
62,5575.8,1380.8,76,0,11,99.8,0.0
63,0.0,2017.1,73,0,14,99.3,0.0
64,544.7,1857.4,70,0,16,99.3,0.0
65,577.4,1797.4,67,0,18,99.0,0.0
66,0.0,1832.2,65,0,20,99.6,0.0
67,622.5,1729.5,63,0,21,99.6,0.0
68,632.9,1682.9,60,0,22,97.7,0.0
69,0.0,1708.4,58,0,24,98.7,0.0
70,704.5,1573.2,56,0,25,98.6,0.0
71,734.8,1518.3,54,0,25,96.4,0.0
72,2197.6,1351.4,54,0,23,98.8,0.0
73,0.0,1550.0,51,0,25,96.8,0.0
74,1556.1,1347.2,52,0,23,100.0,0.0
75,1450.4,1335.1,50,0,23,98.9,0.0
76,1503.7,1281.0,49,0,22,99.3,0.0
77,1907.2,1234.4,49,0,19,98.9,0.0
78,1244.2,1293.3,48,0,18,99.0,0.0
79,1731.8,1226.8,48,0,15,99.4,0.0
80,5703.1,939.4,52,0,5,99.3,0.0
81,2542.5,1089.2,24,0,0,33.3,0.0
82,0.0,1126.8,24,0,0,35.8,0.0
83,0.0,1104.9,24,0,0,38.3,0.0
84,0.0,1061.8,23,0,0,38.4,0.0
85,0.0,1028.0,22,0,0,38.5,0.0
86,0.0,985.4,21,0,0,38.4,0.0
87,0.0,935.4,20,0,0,37.9,0.0
88,0.0,775.7,18,0,0,35.3,0.0
89,0.0,823.8,16,0,0,32.6,0.0
90,0.0,752.1,14,0,0,29.8,0.0
91,0.0,624.4,5,0,0,11.1,0.0
