Time elapsed (s),Avg prompt throughput (tokens/s),Avg generation throughput (tokens/s),Running (reqs),Swapped (reqs),Pending (reqs),GPU KV cache usage (%),CPU KV cache usage (%)
1,2704.1,5.3,32,0,224,35.6,0.0
2,17625.4,34.4,89,0,167,99.0,0.0
3,0.0,2044.0,84,5,167,99.2,2.0
4,0.0,2042.7,79,10,167,98.8,4.1
5,0.0,2069.2,77,12,167,99.0,5.0
6,0.0,1916.2,73,16,167,98.9,6.8
7,0.0,1876.5,70,19,167,99.7,8.3
8,0.0,1835.6,68,21,167,99.2,9.3
9,0.0,1741.9,65,24,167,99.4,10.8
10,0.0,1705.1,62,27,167,99.1,12.4
11,0.0,1730.1,61,28,167,99.6,13.0
12,0.0,1590.0,58,31,167,98.7,14.7
13,0.0,1567.3,56,33,167,99.2,15.9
14,0.0,1350.6,55,34,167,99.4,16.6
15,0.0,1488.7,53,36,167,99.4,17.8
16,0.0,1442.7,51,38,167,99.2,19.2
17,0.0,1392.4,49,40,167,98.7,20.5
18,0.0,1347.9,47,42,167,98.0,22.0
19,0.0,1382.2,47,42,167,99.6,22.0
20,0.0,1267.2,45,44,167,98.5,23.5
21,0.0,529.6,45,0,167,70.6,0.0
22,12492.0,570.9,70,0,142,99.2,0.0
23,496.9,1748.0,68,1,141,99.5,0.4
24,0.0,1807.2,67,1,141,99.7,0.4
25,0.0,1694.9,64,3,141,99.4,1.3
26,0.0,1680.2,62,3,141,99.3,1.3
27,0.0,1669.0,61,2,141,98.3,0.8
28,0.0,1628.6,59,3,141,98.9,1.3
29,0.0,1585.3,58,2,141,99.8,0.8
30,0.0,1525.9,56,2,141,99.2,0.9
31,0.0,1538.2,54,2,141,96.7,0.9
32,1000.5,1399.1,55,1,139,99.5,0.4
33,0.0,1497.2,54,0,139,100.0,0.0
34,1532.4,1342.8,54,1,136,99.7,0.4
35,999.8,1351.3,53,1,134,98.9,0.4
36,1531.2,1340.8,54,0,131,99.5,0.0
37,1018.2,1373.2,53,1,129,98.9,0.4
38,2556.9,1077.7,55,0,124,98.7,0.0
39,1013.2,1393.1,54,1,122,98.9,0.4
40,3364.1,1196.8,57,0,115,99.0,0.0
41,2033.2,1346.2,57,1,111,99.2,0.4
42,13205.5,392.5,65,0,79,80.8,0.0
43,7962.1,1103.1,79,2,63,98.9,0.8
44,0.0,1949.6,75,6,63,99.3,2.4
45,0.0,1869.2,71,10,63,99.3,4.2
46,0.0,1850.1,69,12,63,99.3,5.1
47,0.0,1724.0,66,14,63,98.9,6.0
48,0.0,1715.0,63,17,63,99.1,7.5
49,0.0,1714.2,61,19,63,98.6,8.5
50,0.0,1611.7,59,20,63,98.7,9.1
51,0.0,1596.3,57,22,63,99.6,10.2
52,0.0,1505.1,54,25,63,98.4,11.9
53,0.0,1494.1,54,23,63,99.3,10.8
54,0.0,1422.8,52,24,63,98.9,11.4
55,0.0,1405.3,51,23,63,99.7,10.8
56,0.0,1332.0,48,21,63,93.9,9.6
57,0.0,1300.9,49,20,63,98.6,9.1
58,0.0,1253.8,50,14,63,99.6,6.0
59,0.0,1373.8,49,11,63,96.8,4.6
60,0.0,1278.0,52,3,63,98.6,1.2
61,3090.1,1006.2,56,0,56,98.6,0.0
62,10659.5,594.0,64,0,24,82.7,0.0
63,7108.6,1159.3,77,0,10,98.7,0.0
64,0.0,1905.7,73,4,10,98.9,1.7
65,0.0,1826.1,70,6,10,99.0,2.5
66,0.0,1826.4,68,8,10,99.1,3.4
67,0.0,1750.6,66,9,10,100.0,3.9
68,0.0,1682.2,63,11,10,99.3,4.9
69,0.0,1711.9,62,11,10,99.6,4.9
70,0.0,1582.1,59,13,10,98.3,6.0
71,0.0,1560.5,57,14,10,98.4,6.5
72,0.0,1508.1,55,15,10,98.3,7.1
73,0.0,1538.3,54,14,10,97.6,6.5
74,0.0,1426.3,53,14,10,99.0,6.5
75,0.0,1410.7,52,13,10,99.7,6.0
76,0.0,1391.3,51,12,10,98.7,5.4
77,0.0,1382.8,49,14,10,98.9,6.6
78,0.0,1300.9,49,10,10,99.5,4.4
79,0.0,1310.4,48,8,10,98.8,3.4
80,0.0,1352.3,47,6,10,96.6,2.5
81,2997.9,1004.2,52,1,4,99.2,0.4
82,2018.7,1134.6,25,0,0,35.4,0.0
83,0.0,1137.0,24,0,0,35.7,0.0
84,0.0,1108.1,24,0,0,38.2,0.0
85,0.0,1069.5,23,0,0,38.3,0.0
86,0.0,1043.8,22,0,0,38.2,0.0
87,0.0,990.4,21,0,0,38.0,0.0
88,0.0,944.3,20,0,0,37.8,0.0
89,0.0,771.6,18,0,0,35.2,0.0
90,0.0,834.2,16,0,0,32.6,0.0
91,0.0,757.4,15,0,0,31.9,0.0
92,0.0,648.4,10,0,0,22.1,0.0
