Time elapsed (s),Avg prompt throughput (tokens/s),Avg generation throughput (tokens/s),Running (reqs),Swapped (reqs),Pending (reqs),GPU KV cache usage (%),CPU KV cache usage (%)
1,562.6,0.4,2,0,30,7.4,0.0
2,15073.7,10.2,14,0,18,51.6,0.0
3,15118.6,10.2,26,0,6,95.8,0.0
4,0.0,846.8,26,0,6,97.9,0.0
5,0.0,869.1,26,0,6,99.9,0.0
6,0.0,848.2,25,0,7,98.1,0.0
7,0.0,830.7,24,0,8,96.0,0.0
8,0.0,812.4,24,0,8,98.9,0.0
9,0.0,803.2,23,0,9,96.6,0.0
10,0.0,780.5,23,0,9,98.4,0.0
11,0.0,768.3,22,0,10,95.9,0.0
12,0.0,747.6,22,0,10,97.6,0.0
13,0.0,740.3,22,0,10,99.4,0.0
14,0.0,719.5,21,0,11,96.5,0.0
15,0.0,710.5,21,0,11,98.2,0.0
16,0.0,703.0,20,0,12,95.9,0.0
17,0.0,681.1,20,0,12,97.5,0.0
18,0.0,675.3,20,0,12,99.0,0.0
19,0.0,665.2,19,0,13,95.6,0.0
20,0.0,646.9,19,0,13,97.1,0.0
21,0.0,641.9,19,0,13,98.6,0.0
22,0.0,628.3,18,0,14,94.8,0.0
23,0.0,612.8,18,0,14,97.0,0.0
24,0.0,607.9,18,0,14,98.4,0.0
25,0.0,602.9,18,0,14,99.8,0.0
26,0.0,583.3,17,0,15,95.6,0.0
27,0.0,573.4,17,0,15,97.0,0.0
28,0.0,568.8,17,0,15,98.3,0.0
29,0.0,564.5,17,0,15,99.7,0.0
30,0.0,538.5,16,0,16,95.7,0.0
31,0.0,533.6,16,0,16,97.0,0.0
32,0.0,529.7,16,0,16,98.3,0.0
33,0.0,525.7,16,0,16,99.5,0.0
34,14496.6,20.7,9,0,7,43.7,0.0
35,10197.0,210.1,16,0,0,69.9,0.0
36,0.0,623.9,16,0,0,71.6,0.0
37,0.0,623.9,16,0,0,73.1,0.0
38,0.0,617.8,16,0,0,74.8,0.0
39,0.0,591.6,15,0,0,70.0,0.0
40,0.0,584.4,15,0,0,71.5,0.0
41,0.0,578.2,15,0,0,72.9,0.0
42,0.0,557.4,14,0,0,68.2,0.0
43,0.0,543.7,14,0,0,69.3,0.0
44,0.0,539.3,14,0,0,70.6,0.0
45,0.0,536.4,13,0,0,65.8,0.0
46,0.0,535.6,13,0,0,67.4,0.0
47,0.0,530.2,12,0,0,62.4,0.0
48,0.0,507.6,12,0,0,63.6,0.0
49,0.0,503.6,12,0,0,64.8,0.0
50,0.0,480.7,11,0,0,59.9,0.0
51,0.0,473.9,11,0,0,61.0,0.0
52,0.0,455.8,10,0,0,56.0,0.0
53,0.0,445.0,10,0,0,57.2,0.0
54,0.0,418.2,9,0,0,51.9,0.0
55,0.0,398.4,8,0,0,46.7,0.0
56,0.0,381.3,8,0,0,47.7,0.0
57,0.0,352.3,7,0,0,42.4,0.0
58,0.0,315.6,6,0,0,36.8,0.0
