Time elapsed (s),Avg prompt throughput (tokens/s),Avg generation throughput (tokens/s),Running (reqs),Swapped (reqs),Pending (reqs),GPU KV cache usage (%),CPU KV cache usage (%)
1,560.2,0.4,2,0,30,7.4,0.0
2,15001.2,10.1,14,0,18,51.6,0.0
3,15157.7,10.2,26,0,6,95.8,0.0
4,0.0,844.6,26,0,6,97.9,0.0
5,0.0,867.0,26,0,6,99.9,0.0
6,0.0,809.7,25,1,6,98.1,1.2
7,0.0,792.9,24,2,6,96.0,2.4
8,0.0,811.4,24,2,6,97.9,2.4
9,0.0,766.4,23,3,6,96.6,3.7
10,0.0,778.7,23,3,6,98.4,3.7
11,0.0,731.0,22,4,6,95.9,5.0
12,0.0,746.7,22,4,6,97.6,5.0
13,0.0,739.5,22,4,6,99.4,5.0
14,0.0,684.2,21,5,6,96.5,6.4
15,0.0,709.9,21,5,6,98.2,6.4
16,0.0,703.5,21,5,6,99.8,6.4
17,0.0,646.4,20,6,6,96.7,7.9
18,0.0,675.2,20,6,6,98.3,7.9
19,0.0,632.7,19,7,6,95.6,9.4
20,0.0,647.3,19,7,6,97.1,9.4
21,0.0,641.8,19,7,6,98.6,9.4
22,0.0,595.0,18,8,6,94.8,11.0
23,0.0,612.6,18,8,6,96.3,11.0
24,0.0,608.4,18,8,6,97.7,11.0
25,0.0,603.1,18,8,6,99.1,11.0
26,0.0,548.9,17,9,6,95.0,12.7
27,0.0,573.7,17,9,6,96.3,12.7
28,0.0,569.4,17,9,6,98.3,12.7
29,0.0,564.6,17,9,6,99.7,12.7
30,0.0,511.0,16,10,6,95.1,14.5
31,0.0,534.0,16,10,6,96.4,14.5
32,0.0,530.2,16,10,6,97.6,14.5
33,0.0,526.1,16,10,6,98.9,14.5
34,0.0,229.0,10,0,6,47.6,0.0
35,8734.1,273.4,16,0,0,70.3,0.0
36,0.0,627.9,16,0,0,71.8,0.0
37,0.0,621.7,16,0,0,73.5,0.0
38,0.0,614.7,15,0,0,68.5,0.0
39,0.0,587.5,15,0,0,70.0,0.0
40,0.0,581.7,15,0,0,71.5,0.0
41,0.0,575.7,15,0,0,72.9,0.0
42,0.0,552.4,14,0,0,68.2,0.0
43,0.0,541.0,14,0,0,69.5,0.0
44,0.0,536.8,14,0,0,71.0,0.0
45,0.0,534.7,13,0,0,66.0,0.0
46,0.0,533.6,13,0,0,67.4,0.0
47,0.0,526.3,12,0,0,62.4,0.0
48,0.0,505.6,12,0,0,63.8,0.0
49,0.0,502.0,12,0,0,65.0,0.0
50,0.0,477.2,11,0,0,59.9,0.0
51,0.0,472.3,11,0,0,61.2,0.0
52,0.0,452.6,10,0,0,56.0,0.0
53,0.0,443.2,10,0,0,57.2,0.0
54,0.0,414.8,9,0,0,52.0,0.0
55,0.0,395.1,8,0,0,46.8,0.0
56,0.0,379.8,8,0,0,47.7,0.0
57,0.0,349.1,7,0,0,42.4,0.0
58,0.0,312.7,6,0,0,36.8,0.0
