Time elapsed (s),Avg prompt throughput (tokens/s),Avg generation throughput (tokens/s),Running (reqs),Swapped (reqs),Pending (reqs),GPU KV cache usage (%),CPU KV cache usage (%)
1,2722.8,5.3,32,0,32,75.0,0.0
2,5029.3,1125.7,40,0,24,99.6,0.0
3,0.0,1558.4,36,0,28,97.6,0.0
4,0.0,1455.3,34,0,30,97.1,0.0
5,0.0,1376.4,32,0,32,98.5,0.0
6,0.0,1293.2,30,0,34,98.9,0.0
7,0.0,1218.0,29,0,35,99.9,0.0
8,0.0,1160.0,27,0,37,98.9,0.0
9,0.0,1115.4,25,0,39,97.1,0.0
10,0.0,1057.4,24,0,40,96.7,0.0
11,0.0,1005.0,23,0,41,97.7,0.0
12,0.0,965.4,22,0,42,98.3,0.0
13,0.0,927.3,21,0,43,96.9,0.0
14,0.0,879.4,20,0,44,96.7,0.0
15,0.0,851.0,19,0,45,96.0,0.0
16,0.0,814.6,18,0,46,94.9,0.0
17,0.0,776.5,18,0,46,97.6,0.0
18,0.0,748.3,17,0,47,95.9,0.0
19,0.0,727.5,17,0,47,99.6,0.0
20,0.0,705.3,16,0,48,97.3,0.0
21,0.0,692.1,16,0,48,99.6,0.0
22,0.0,652.6,15,0,49,96.7,0.0
23,0.0,640.8,14,0,50,93.3,0.0
24,0.0,603.1,14,0,50,96.4,0.0
25,0.0,595.8,14,0,50,98.5,0.0
26,16361.8,51.1,24,0,26,98.4,0.0
27,0.0,1000.0,23,0,27,99.1,0.0
28,0.0,940.4,21,0,29,97.9,0.0
29,1278.6,847.2,21,0,28,97.1,0.0
30,0.0,877.9,20,0,29,98.2,0.0
31,1344.4,804.9,20,0,28,98.9,0.0
32,0.0,832.0,18,0,29,91.1,0.0
33,1433.7,758.8,19,0,28,98.8,0.0
34,1437.3,716.7,19,0,27,97.7,0.0
35,0.0,790.3,18,0,28,98.5,0.0
36,1257.9,720.2,18,0,27,98.5,0.0
37,1118.7,724.4,19,0,25,99.5,0.0
38,0.0,767.9,17,0,27,97.7,0.0
39,1734.8,676.0,18,0,25,99.0,0.0
40,1065.1,746.6,18,0,24,98.2,0.0
41,1577.3,733.0,19,0,22,99.0,0.0
42,1570.7,742.6,19,0,21,98.2,0.0
43,1548.4,772.2,20,0,19,99.1,0.0
44,2400.5,749.9,22,0,15,98.0,0.0
45,1536.8,843.6,23,0,13,99.9,0.0
46,1523.5,893.4,23,0,12,99.1,0.0
47,2536.9,878.8,25,0,8,99.1,0.0
48,2570.6,787.3,27,0,4,98.1,0.0
49,1006.2,1079.9,27,0,3,98.0,0.0
50,1547.0,1057.2,27,0,2,98.0,0.0
51,0.0,1104.9,25,0,4,97.8,0.0
52,0.0,1042.5,24,0,5,99.6,0.0
53,1243.0,954.1,24,0,4,99.8,0.0
54,0.0,974.9,22,0,6,97.7,0.0
55,0.0,922.8,21,0,7,98.5,0.0
56,0.0,874.2,20,0,8,98.5,0.0
57,1751.8,756.0,20,0,7,98.8,0.0
58,0.0,828.0,19,0,8,98.9,0.0
59,0.0,789.5,18,0,9,97.7,0.0
60,0.0,755.1,17,0,10,96.4,0.0
61,1039.9,675.7,17,0,9,97.3,0.0
62,0.0,715.9,16,0,10,95.5,0.0
63,1072.8,643.7,16,0,9,96.7,0.0
64,968.4,644.0,16,0,8,96.8,0.0
65,1663.6,625.0,16,0,7,96.9,0.0
66,801.7,644.7,16,0,6,96.5,0.0
67,1420.0,642.7,17,0,4,99.3,0.0
68,2235.5,664.6,19,0,0,98.5,0.0
69,0.0,792.7,17,0,0,88.1,0.0
70,0.0,738.6,13,0,0,63.3,0.0
71,0.0,612.3,10,0,0,45.0,0.0
72,0.0,557.1,10,0,0,47.5,0.0
73,0.0,524.3,9,0,0,42.9,0.0
74,0.0,509.8,9,0,0,45.1,0.0
75,0.0,503.3,8,0,0,40.4,0.0
76,0.0,461.6,8,0,0,42.6,0.0
77,0.0,456.6,8,0,0,44.7,0.0
78,0.0,435.2,7,0,0,39.7,0.0
79,0.0,406.2,7,0,0,41.5,0.0
80,0.0,384.3,6,0,0,36.3,0.0
81,0.0,354.7,6,0,0,37.9,0.0
82,0.0,311.1,5,0,0,32.3,0.0
83,0.0,253.1,4,0,0,26.4,0.0
84,0.0,226.0,3,0,0,20.4,0.0
85,0.0,145.9,2,0,0,14.0,0.0
