Time elapsed (s),Avg prompt throughput (tokens/s),Avg generation throughput (tokens/s),Running (reqs),Swapped (reqs),Pending (reqs),GPU KV cache usage (%),CPU KV cache usage (%)
1,2729.7,5.3,32,0,32,75.0,0.0
2,5114.4,1064.8,40,2,22,99.6,0.8
3,0.0,1475.5,36,6,22,97.6,2.5
4,0.0,1420.8,34,8,22,97.1,3.4
5,0.0,1346.6,32,10,22,98.5,4.4
6,0.0,1285.0,31,11,22,99.9,4.9
7,0.0,1182.8,29,13,22,99.9,6.0
8,0.0,1123.4,27,15,22,96.9,7.2
9,0.0,1106.2,26,16,22,99.0,7.8
10,0.0,1026.6,24,18,22,96.7,9.1
11,0.0,995.2,23,19,22,96.0,9.8
12,0.0,956.4,22,20,22,96.7,10.5
13,0.0,917.3,21,21,22,96.9,11.2
14,0.0,870.4,20,22,22,95.2,12.0
15,0.0,863.0,20,22,22,99.6,12.0
16,0.0,803.5,19,23,22,98.8,12.9
17,0.0,768.0,18,24,22,96.3,13.7
18,0.0,743.3,17,25,22,94.7,14.6
19,0.0,735.2,17,25,22,98.4,14.6
20,0.0,695.1,16,26,22,94.9,15.6
21,0.0,699.2,16,26,22,98.5,15.6
22,0.0,651.1,15,27,22,95.6,16.7
23,0.0,650.3,15,27,22,97.8,16.7
24,0.0,598.6,14,28,22,94.4,17.8
25,0.0,602.1,14,28,22,97.4,17.8
26,0.0,305.6,24,4,22,98.4,1.6
27,0.0,987.3,23,5,22,99.1,2.1
28,0.0,908.4,21,7,22,97.9,3.1
29,0.0,869.2,21,6,22,97.1,2.6
30,0.0,861.6,20,7,22,98.2,3.1
31,0.0,823.4,20,6,22,98.9,2.6
32,0.0,815.7,19,7,22,98.2,3.2
33,0.0,781.2,19,6,22,98.8,2.6
34,0.0,732.5,19,5,22,97.8,2.1
35,0.0,775.4,18,6,22,98.4,2.6
36,0.0,739.1,18,5,22,98.5,2.1
37,0.0,755.8,19,3,22,99.5,1.2
38,0.0,736.4,17,5,22,97.7,2.1
39,0.0,686.1,19,1,22,97.1,0.4
40,0.0,789.1,18,2,22,98.3,0.8
41,507.7,739.7,18,2,21,97.7,0.8
42,505.9,755.0,19,1,20,98.4,0.4
43,1485.1,736.7,21,0,17,97.4,0.0
44,1014.6,815.5,22,0,15,99.0,0.0
45,1020.6,829.2,22,1,13,97.8,0.4
46,1502.9,849.3,24,0,10,97.9,0.0
47,1531.9,943.5,25,1,7,99.4,0.4
48,1512.8,850.0,27,0,4,98.6,0.0
49,1022.9,1043.9,27,0,2,93.9,0.0
50,1021.1,1059.0,27,2,0,99.0,0.8
51,0.0,1061.0,25,4,0,97.9,1.7
52,0.0,1022.5,24,5,0,99.9,2.2
53,0.0,950.0,23,5,0,97.1,2.3
54,0.0,953.4,22,6,0,97.8,2.9
55,0.0,902.8,21,7,0,98.5,3.5
56,0.0,852.8,20,8,0,98.3,4.1
57,0.0,780.3,20,7,0,99.0,3.5
58,0.0,808.8,19,8,0,99.0,4.1
59,0.0,768.5,18,9,0,97.5,4.9
60,0.0,733.8,17,10,0,96.5,5.7
61,0.0,705.6,17,9,0,97.3,4.9
62,0.0,693.4,16,10,0,95.4,5.7
63,0.0,670.1,16,9,0,96.6,4.9
64,0.0,669.4,16,8,0,96.8,4.1
65,0.0,649.4,16,7,0,97.2,3.5
66,0.0,670.8,16,6,0,96.6,2.9
67,0.0,682.4,17,4,0,99.5,1.7
68,0.0,737.8,19,0,0,99.3,0.0
69,0.0,783.8,16,0,0,81.7,0.0
70,0.0,715.7,12,0,0,56.8,0.0
71,0.0,590.4,10,0,0,45.4,0.0
72,0.0,557.3,10,0,0,48.0,0.0
73,0.0,517.6,9,0,0,43.3,0.0
74,0.0,510.0,9,0,0,45.6,0.0
75,0.0,498.7,8,0,0,41.0,0.0
76,0.0,462.2,8,0,0,43.0,0.0
77,0.0,457.3,8,0,0,45.2,0.0
78,0.0,432.1,7,0,0,40.1,0.0
79,0.0,406.6,7,0,0,42.0,0.0
80,0.0,374.3,6,0,0,36.6,0.0
81,0.0,347.7,5,0,0,31.2,0.0
82,0.0,292.7,4,0,0,25.5,0.0
83,0.0,250.4,4,0,0,26.7,0.0
84,0.0,218.2,3,0,0,20.6,0.0
85,0.0,122.0,1,0,0,7.0,0.0
