Time elapsed (s),Avg prompt throughput (tokens/s),Avg generation throughput (tokens/s),Running (reqs),Swapped (reqs),Pending (reqs),GPU KV cache usage (%),CPU KV cache usage (%)
1,385.1,0.8,4,0,60,15.0,0.0
2,9207.6,18.0,24,0,40,90.1,0.0
3,991.7,534.6,25,0,39,99.8,0.0
4,0.0,675.3,23,0,41,97.2,0.0
5,0.0,643.4,23,0,41,99.9,0.0
6,0.0,614.2,21,0,43,96.1,0.0
7,0.0,593.4,20,0,44,96.2,0.0
8,0.0,569.1,19,0,45,95.9,0.0
9,0.0,545.0,18,0,46,95.1,0.0
10,0.0,521.0,18,0,46,97.2,0.0
11,0.0,506.9,17,0,47,95.8,0.0
12,0.0,491.0,17,0,47,99.8,0.0
13,0.0,462.5,16,0,48,97.7,0.0
14,0.0,448.6,15,0,49,95.1,0.0
15,0.0,425.6,15,0,49,96.8,0.0
16,0.0,413.1,14,0,50,93.7,0.0
17,0.0,398.4,14,0,50,96.9,0.0
18,0.0,389.3,13,0,51,93.1,0.0
19,0.0,367.3,13,0,51,96.1,0.0
20,0.0,367.0,13,0,51,99.2,0.0
21,0.0,353.9,12,0,52,93.0,0.0
22,0.0,339.8,12,0,52,95.8,0.0
23,0.0,337.4,12,0,52,98.6,0.0
24,0.0,319.5,11,0,53,93.0,0.0
25,0.0,309.9,11,0,53,95.5,0.0
26,0.0,308.1,11,0,53,96.8,0.0
27,0.0,306.0,11,0,53,99.4,0.0
28,0.0,295.9,10,0,54,92.7,0.0
29,0.0,292.5,10,0,54,95.1,0.0
30,0.0,291.2,10,0,54,97.4,0.0
31,0.0,289.7,10,0,54,99.8,0.0
32,0.0,276.6,9,0,55,90.8,0.0
33,0.0,265.0,9,0,55,93.0,0.0
34,0.0,263.3,9,0,55,95.1,0.0
35,0.0,262.6,9,0,55,97.2,0.0
36,0.0,261.2,9,0,55,99.3,0.0
37,0.0,244.3,8,0,56,90.1,0.0
38,6204.2,67.0,6,0,50,53.6,0.0
39,5853.2,132.3,14,0,42,98.0,0.0
40,1126.4,347.5,15,0,40,98.6,0.0
41,0.0,410.7,14,0,41,96.2,0.0
42,0.0,398.2,14,0,41,99.3,0.0
43,0.0,374.4,13,0,42,97.5,0.0
44,0.0,364.0,12,0,43,95.0,0.0
45,1399.3,287.4,13,0,41,95.7,0.0
46,0.0,371.3,13,0,41,98.5,0.0
47,0.0,347.7,12,0,42,96.2,0.0
48,0.0,342.0,12,0,42,99.1,0.0
49,0.0,325.1,11,0,43,95.4,0.0
50,1528.5,263.3,12,0,41,96.8,0.0
51,0.0,341.9,12,0,41,99.6,0.0
52,0.0,321.7,11,0,42,96.8,0.0
53,0.0,312.9,11,0,42,99.4,0.0
54,1304.2,273.5,12,0,40,99.3,0.0
55,0.0,323.1,11,0,41,97.4,0.0
56,0.0,313.3,10,0,42,94.0,0.0
57,1919.9,250.8,12,0,39,98.6,0.0
58,0.0,330.1,11,0,40,96.9,0.0
59,0.0,316.7,11,0,40,99.4,0.0
60,1078.6,289.3,12,0,38,97.9,0.0
61,0.0,334.6,11,0,39,96.5,0.0
62,1536.3,267.0,13,0,36,99.2,0.0
63,0.0,356.4,12,0,37,97.3,0.0
