Time elapsed (s),Avg prompt throughput (tokens/s),Avg generation throughput (tokens/s),Running (reqs),Swapped (reqs),Pending (reqs),GPU KV cache usage (%),CPU KV cache usage (%)
1,387.7,0.8,4,0,60,15.0,0.0
2,9274.9,18.1,24,0,40,90.1,0.0
3,1022.3,601.0,25,1,38,99.8,0.6
4,0.0,673.0,23,3,38,97.2,1.9
5,0.0,653.6,22,4,38,98.1,2.6
6,0.0,621.4,21,5,38,96.1,3.4
7,0.0,599.8,20,6,38,96.2,4.1
8,0.0,573.1,19,7,38,95.9,4.9
9,0.0,546.7,18,8,38,95.1,5.8
10,0.0,541.3,18,8,38,99.3,5.8
11,0.0,504.5,17,9,38,97.8,6.7
12,0.0,489.8,16,10,38,95.8,7.6
13,0.0,471.2,16,10,38,97.7,7.6
14,0.0,441.0,15,11,38,95.1,8.6
15,0.0,441.6,15,11,38,98.6,8.6
16,0.0,400.4,14,12,38,95.3,9.7
17,0.0,398.5,14,12,38,98.6,9.7
18,0.0,366.0,13,13,38,94.6,10.8
19,0.0,369.9,13,13,38,96.1,10.8
20,0.0,367.4,13,13,38,99.2,10.8
21,0.0,330.9,12,14,38,94.4,12.1
22,0.0,339.9,12,14,38,97.2,12.1
23,0.0,337.5,12,14,38,100.0,12.1
24,0.0,297.0,11,15,38,93.0,13.4
25,0.0,310.3,11,15,38,95.5,13.4
26,0.0,308.3,11,15,38,98.1,13.4
27,0.0,290.1,10,16,38,91.5,14.9
28,0.0,294.8,10,16,38,92.7,14.9
29,0.0,293.4,10,16,38,95.1,14.9
30,0.0,291.9,10,16,38,97.4,14.9
31,0.0,290.6,10,16,38,99.8,14.9
32,0.0,256.5,9,17,38,91.9,16.5
33,0.0,265.8,9,17,38,94.0,16.5
34,0.0,264.4,9,17,38,96.1,16.5
35,0.0,263.3,9,17,38,97.2,16.5
36,0.0,262.0,9,17,38,99.3,16.5
37,0.0,225.7,8,18,38,90.1,18.3
38,0.0,128.0,14,4,38,98.0,2.6
39,0.0,378.9,15,2,38,98.6,1.3
40,0.0,403.5,14,3,38,96.0,2.0
41,0.0,399.4,14,3,38,99.3,2.0
42,0.0,367.2,13,4,38,97.5,2.8
43,0.0,357.3,12,5,38,95.0,3.7
44,0.0,345.3,11,5,38,85.1,3.7
45,0.0,346.7,13,3,38,98.5,2.0
46,0.0,340.1,12,4,38,96.2,2.8
47,0.0,343.0,12,4,38,99.1,2.8
48,0.0,316.2,11,5,38,94.1,3.8
49,0.0,303.2,12,3,38,96.8,2.0
50,0.0,342.7,12,3,38,99.6,2.0
51,0.0,312.4,11,4,38,96.8,2.9
52,0.0,313.8,11,4,38,98.4,2.9
53,0.0,306.6,12,2,38,99.2,1.3
54,0.0,313.5,11,3,38,97.4,2.0
55,0.0,301.7,10,4,38,94.0,3.0
56,0.0,294.4,12,1,38,98.7,0.6
57,0.0,321.2,11,2,38,96.9,1.3
58,0.0,317.0,11,2,38,99.4,1.3
59,0.0,321.5,12,0,38,98.9,0.0
60,0.0,320.2,11,1,38,97.4,0.7
61,1004.6,293.3,13,0,36,99.3,0.0
62,0.0,341.4,12,1,36,98.2,0.6
63,1017.0,305.9,13,1,34,96.7,0.6
64,0.0,371.1,13,1,34,99.4,0.6
65,509.8,360.4,14,0,33,98.7,0.0
66,980.6,321.8,15,0,31,97.3,0.0
67,0.0,403.9,14,1,31,96.1,0.6
68,998.7,353.1,16,0,29,99.6,0.0
69,0.0,412.1,15,0,29,91.1,0.0
70,1001.6,405.9,16,1,27,97.7,0.6
71,1014.8,410.3,17,1,25,97.7,0.6
72,0.0,464.2,16,2,25,96.1,1.3
73,0.0,451.9,16,2,25,99.6,1.3
74,0.0,389.3,16,1,25,96.0,0.6
75,0.0,453.3,16,1,25,99.4,0.6
76,0.0,424.8,15,2,25,97.4,1.4
77,0.0,404.8,14,3,25,95.5,2.2
78,0.0,399.0,14,3,25,98.8,2.2
79,0.0,368.8,13,4,25,96.0,3.1
80,0.0,370.6,13,4,25,98.4,3.1
81,0.0,345.1,12,5,25,94.5,4.1
82,0.0,342.6,12,5,25,97.3,4.1
83,0.0,321.6,12,4,25,95.0,3.1
84,0.0,341.2,12,4,25,97.1,3.1
85,0.0,339.1,12,4,25,99.3,3.1
86,0.0,303.4,11,5,25,95.1,4.3
87,0.0,311.7,11,5,25,97.7,4.3
88,0.0,295.3,10,6,25,92.1,5.6
89,0.0,292.4,10,6,25,93.9,5.6
90,0.0,273.9,11,4,25,99.3,3.1
91,0.0,284.0,10,5,25,94.7,4.3
92,0.0,290.7,10,5,25,97.1,4.3
93,0.0,289.5,10,5,25,98.9,4.3
94,0.0,277.5,10,4,25,96.5,3.1
95,0.0,289.3,10,4,25,98.6,3.1
96,0.0,268.4,9,5,25,93.3,4.4
97,0.0,258.4,10,3,25,97.3,2.2
98,0.0,285.0,11,1,25,97.3,0.6
99,498.1,297.7,12,0,24,96.1,0.0
100,1516.9,319.0,14,0,21,98.6,0.0
101,0.0,376.1,13,1,21,97.1,0.6
102,2031.0,314.4,16,0,17,96.8,0.0
103,0.0,451.9,16,0,17,99.3,0.0
104,1018.1,402.7,17,0,15,99.2,0.0
105,996.5,450.6,18,0,13,98.8,0.0
106,0.0,489.3,17,1,13,97.9,0.6
107,496.8,458.0,18,0,12,98.2,0.0
108,0.0,486.9,17,1,12,98.4,0.6
109,0.0,455.1,16,2,12,97.4,1.4
110,0.0,452.0,16,2,12,100.0,1.4
111,0.0,413.5,15,3,12,98.2,2.2
112,0.0,394.4,14,4,12,96.1,3.1
113,0.0,398.5,14,4,12,99.4,3.1
114,0.0,368.7,13,5,12,95.7,4.0
115,0.0,370.0,12,5,12,87.0,4.0
116,0.0,345.5,13,4,12,95.8,3.1
117,0.0,368.6,13,4,12,98.8,3.1
118,0.0,340.2,12,5,12,94.4,4.2
119,0.0,340.1,12,5,12,96.8,4.2
120,0.0,337.8,12,5,12,99.5,4.2
121,0.0,303.5,11,6,12,94.6,5.4
122,0.0,311.3,11,6,12,97.1,5.4
123,0.0,309.3,11,6,12,98.9,5.4
124,0.0,294.5,11,5,12,97.3,4.2
125,0.0,309.4,11,5,12,99.9,4.2
126,0.0,282.0,10,6,12,94.4,5.5
127,0.0,290.8,10,6,12,96.6,5.5
128,0.0,289.6,10,6,12,97.9,5.5
129,0.0,275.8,10,5,12,96.8,4.2
130,0.0,289.0,10,5,12,99.2,4.2
131,0.0,220.7,9,6,12,93.0,5.5
132,0.0,252.7,10,4,12,97.5,3.1
133,0.0,289.1,10,4,12,99.9,3.1
134,0.0,256.6,9,5,12,95.3,4.2
135,0.0,246.6,10,3,12,98.5,2.2
136,0.0,286.4,11,1,12,98.1,0.6
137,3302.6,230.4,16,0,5,96.8,0.0
138,0.0,449.2,16,0,5,99.9,0.0
139,2546.7,354.2,18,0,0,88.1,0.0
140,0.0,526.5,18,0,0,91.5,0.0
141,0.0,521.9,18,0,0,95.4,0.0
142,0.0,517.3,18,0,0,99.5,0.0
143,0.0,481.1,17,1,0,98.9,0.7
144,0.0,451.8,16,2,0,97.8,1.5
145,0.0,436.3,15,3,0,95.1,2.4
146,0.0,425.8,15,3,0,98.1,2.4
147,0.0,402.9,15,2,0,95.5,1.6
148,0.0,426.1,15,2,0,98.9,1.6
149,0.0,398.6,14,3,0,95.5,2.5
150,0.0,398.1,14,3,0,98.4,2.5
151,0.0,360.4,13,4,0,95.2,3.5
152,0.0,369.9,13,4,0,98.2,3.5
153,0.0,349.0,12,5,0,93.5,4.6
154,0.0,341.8,12,5,0,96.0,4.6
155,0.0,339.4,12,5,0,98.6,4.6
156,0.0,307.6,11,6,0,93.7,5.9
157,0.0,312.5,11,6,0,96.1,5.9
158,0.0,296.2,11,5,0,94.2,4.6
159,0.0,310.7,11,5,0,96.5,4.6
160,0.0,309.0,11,5,0,98.9,4.6
161,0.0,283.5,10,6,0,93.2,6.0
162,0.0,291.5,10,6,0,95.4,6.0
163,0.0,275.5,10,5,0,93.9,4.6
164,0.0,291.0,10,5,0,96.1,4.6
165,0.0,289.7,10,5,0,98.4,4.6
166,0.0,269.7,9,6,0,91.8,6.0
167,0.0,254.2,10,4,0,97.5,3.5
168,0.0,288.9,10,4,0,99.9,3.5
169,0.0,255.5,8,5,0,83.3,4.7
170,0.0,264.9,10,3,0,99.1,2.5
171,0.0,264.1,9,4,0,94.5,3.5
172,0.0,244.2,10,2,0,96.9,1.6
173,0.0,254.5,7,0,0,51.9,0.0
174,0.0,207.8,6,0,0,42.1,0.0
175,0.0,203.9,6,0,0,43.8,0.0
176,0.0,203.2,6,0,0,45.2,0.0
177,0.0,202.4,6,0,0,46.7,0.0
178,0.0,187.6,5,0,0,36.9,0.0
179,0.0,174.6,5,0,0,38.0,0.0
180,0.0,174.0,5,0,0,39.2,0.0
181,0.0,173.3,5,0,0,40.7,0.0
182,0.0,172.7,5,0,0,42.0,0.0
183,0.0,171.8,5,0,0,43.3,0.0
184,0.0,171.5,5,0,0,44.5,0.0
185,0.0,170.7,5,0,0,45.7,0.0
186,0.0,167.7,4,0,0,35.7,0.0
187,0.0,140.3,4,0,0,36.9,0.0
188,0.0,139.8,4,0,0,37.9,0.0
189,0.0,139.5,4,0,0,38.8,0.0
190,0.0,139.1,4,0,0,39.8,0.0
191,0.0,125.8,3,0,0,29.6,0.0
192,0.0,107.1,3,0,0,30.3,0.0
193,0.0,106.8,3,0,0,31.1,0.0
194,0.0,106.4,3,0,0,31.8,0.0
195,0.0,74.3,2,0,0,21.1,0.0
196,0.0,73.2,2,0,0,21.7,0.0
197,0.0,73.1,2,0,0,22.2,0.0
198,0.0,39.7,1,0,0,11.2,0.0
