Time elapsed (s),Avg prompt throughput (tokens/s),Avg generation throughput (tokens/s),Running (reqs),Swapped (reqs),Pending (reqs),GPU KV cache usage (%),CPU KV cache usage (%)
1,2684.5,0.7,4,0,12,35.6,0.0
2,16372.2,4.0,11,0,5,97.8,0.0
3,0.0,339.5,11,0,5,98.6,0.0
4,0.0,349.7,11,0,5,99.4,0.0
5,0.0,304.0,10,1,5,91.0,3.2
6,0.0,338.3,10,1,5,91.7,3.2
7,0.0,336.5,10,1,5,92.4,3.2
8,0.0,335.1,10,1,5,93.5,3.2
9,0.0,333.6,10,1,5,94.2,3.2
10,0.0,332.2,10,1,5,94.9,3.2
11,0.0,330.7,10,1,5,95.6,3.2
12,0.0,329.4,10,1,5,96.2,3.2
13,0.0,328.0,10,1,5,96.9,3.2
14,0.0,326.6,10,1,5,97.6,3.2
15,0.0,325.2,10,1,5,98.3,3.2
16,0.0,323.9,10,1,5,99.0,3.2
17,0.0,322.6,10,1,5,99.7,3.2
18,0.0,266.5,9,2,5,90.4,6.7
19,0.0,303.7,9,2,5,91.0,6.7
20,0.0,302.6,9,2,5,91.6,6.7
21,0.0,301.5,9,2,5,92.6,6.7
22,0.0,300.2,9,2,5,93.2,6.7
23,0.0,299.1,9,2,5,93.8,6.7
24,0.0,297.7,9,2,5,94.4,6.7
25,0.0,296.8,9,2,5,95.1,6.7
26,0.0,295.4,9,2,5,95.7,6.7
27,0.0,294.5,9,2,5,96.3,6.7
28,0.0,293.4,9,2,5,96.9,6.7
29,0.0,292.3,9,2,5,97.6,6.7
30,0.0,291.2,9,2,5,98.2,6.7
31,0.0,290.2,9,2,5,98.8,6.7
32,0.0,289.0,9,2,5,99.4,6.7
33,0.0,239.8,8,3,5,89.0,10.6
34,0.0,271.2,8,3,5,89.5,10.6
35,0.0,270.0,8,3,5,90.1,10.6
36,0.0,269.1,8,3,5,90.9,10.6
37,0.0,268.3,8,3,5,91.5,10.6
38,0.0,267.3,8,3,5,92.0,10.6
39,0.0,266.3,8,3,5,92.6,10.6
