Time elapsed (s),Avg prompt throughput (tokens/s),Avg generation throughput (tokens/s),Running (reqs),Swapped (reqs),Pending (reqs),GPU KV cache usage (%),CPU KV cache usage (%)
1,2078.9,0.3,2,0,14,26.7,0.0
2,15592.9,2.5,6,0,10,80.1,0.0
3,6022.3,131.3,7,0,9,93.9,0.0
4,0.0,228.8,7,0,9,94.4,0.0
5,0.0,228.1,7,0,9,94.9,0.0
6,0.0,227.5,7,0,9,95.3,0.0
7,0.0,226.7,7,0,9,95.8,0.0
8,0.0,226.1,7,0,9,96.3,0.0
9,0.0,225.3,7,0,9,96.8,0.0
10,0.0,224.7,7,0,9,97.3,0.0
11,0.0,223.8,7,0,9,97.8,0.0
12,0.0,223.3,7,0,9,98.3,0.0
13,0.0,222.5,7,0,9,98.7,0.0
14,0.0,221.9,7,0,9,99.2,0.0
15,0.0,221.1,7,0,9,99.7,0.0
16,0.0,216.3,6,0,10,85.9,0.0
17,0.0,207.2,6,0,10,86.3,0.0
18,0.0,206.5,6,0,10,86.9,0.0
19,0.0,206.0,6,0,10,87.4,0.0
20,0.0,205.1,6,0,10,87.8,0.0
21,0.0,204.6,6,0,10,88.2,0.0
22,0.0,203.9,6,0,10,88.6,0.0
23,0.0,203.4,6,0,10,89.0,0.0
24,0.0,202.6,6,0,10,89.4,0.0
25,0.0,202.2,6,0,10,90.1,0.0
26,0.0,201.4,6,0,10,90.5,0.0
27,0.0,201.0,6,0,10,90.9,0.0
28,0.0,200.4,6,0,10,91.3,0.0
29,0.0,199.9,6,0,10,91.7,0.0
30,0.0,199.5,6,0,10,92.1,0.0
31,0.0,198.6,6,0,10,92.6,0.0
32,0.0,198.5,6,0,10,93.0,0.0
33,0.0,197.7,6,0,10,93.6,0.0
34,0.0,197.4,6,0,10,94.0,0.0
35,0.0,196.3,6,0,10,94.4,0.0
36,0.0,196.3,6,0,10,94.9,0.0
37,0.0,195.6,6,0,10,95.3,0.0
38,0.0,195.4,6,0,10,95.7,0.0
39,0.0,194.3,6,0,10,96.1,0.0
40,0.0,194.4,6,0,10,96.5,0.0
41,0.0,193.6,6,0,10,96.9,0.0
42,0.0,193.5,6,0,10,97.4,0.0
43,0.0,192.4,6,0,10,97.8,0.0
44,0.0,192.4,6,0,10,98.2,0.0
45,0.0,191.7,6,0,10,98.6,0.0
46,0.0,191.4,6,0,10,99.0,0.0
47,0.0,190.5,6,0,10,99.4,0.0
48,0.0,190.5,6,0,10,99.9,0.0
49,0.0,173.3,5,0,11,83.6,0.0
50,0.0,170.8,5,0,11,84.1,0.0
51,0.0,170.1,5,0,11,84.4,0.0
52,0.0,169.8,5,0,11,84.8,0.0
53,0.0,169.3,5,0,11,85.1,0.0
54,0.0,168.9,5,0,11,85.5,0.0
55,0.0,168.5,5,0,11,85.8,0.0
56,0.0,168.0,5,0,11,86.2,0.0
57,0.0,167.7,5,0,11,86.5,0.0
58,0.0,167.2,5,0,11,87.0,0.0
59,0.0,166.9,5,0,11,87.4,0.0
60,0.0,166.5,5,0,11,87.7,0.0
61,0.0,166.1,5,0,11,88.1,0.0
62,0.0,157.7,5,0,11,88.4,0.0
63,0.0,154.8,5,0,11,88.8,0.0
64,8271.8,70.9,2,0,9,31.0,0.0
65,15338.7,2.5,6,0,5,84.4,0.0
66,5982.8,130.5,7,0,4,98.1,0.0
67,0.0,214.7,7,0,4,98.6,0.0
68,0.0,214.7,7,0,4,99.1,0.0
69,0.0,213.4,7,0,4,99.4,0.0
70,0.0,213.3,7,0,4,99.8,0.0
71,0.0,197.9,6,0,5,86.7,0.0
72,0.0,197.1,6,0,5,87.2,0.0
73,0.0,196.5,6,0,5,87.6,0.0
74,0.0,196.2,6,0,5,88.0,0.0
75,0.0,195.4,6,0,5,88.5,0.0
76,0.0,195.1,6,0,5,88.9,0.0
77,0.0,194.6,6,0,5,89.3,0.0
78,0.0,194.1,6,0,5,89.7,0.0
79,0.0,193.5,6,0,5,90.1,0.0
80,0.0,186.6,6,0,5,90.5,0.0
81,0.0,184.5,6,0,5,91.0,0.0
82,5362.1,118.5,6,0,4,87.1,0.0
83,0.0,202.5,6,0,4,87.5,0.0
84,0.0,202.0,6,0,4,88.1,0.0
85,0.0,201.4,6,0,4,88.5,0.0
86,0.0,201.1,6,0,4,88.9,0.0
87,0.0,200.4,6,0,4,89.3,0.0
88,0.0,200.0,6,0,4,89.7,0.0
89,0.0,199.4,6,0,4,90.2,0.0
90,0.0,198.9,6,0,4,90.6,0.0
91,0.0,198.4,6,0,4,91.1,0.0
92,0.0,197.8,6,0,4,91.6,0.0
93,0.0,197.4,6,0,4,92.0,0.0
